Q1#1_1,Q1#1_2,Q1#1_3,Q10#1_1,Q10#1_2,Q10#1_3,Q10#1_4,Q11#1_1,Q11#1_2,Q11#1_3,Q11#1_4,Q12_1,Q12_2,Q12_3,Q13_1,Q13_2,Q13_3,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q15_3,Q16_1,Q16_2,Q16_3,Q16_5_1,Q16_5_2,Q16_5_3,Q17_1,Q17_2,Q17_3,Q18_1,Q18_2,Q18_3,Q2#1_1,Q2#1_2,Q2#1_3,Q3#1_1,Q3#1_2,Q3#1_3,Q4#1_1,Q4#1_2,Q4#1_3,Q5#1_1,Q5#1_2,Q5#1_3,Q6#1_1,Q6#1_2,Q6#1_3,Q7#1_1,Q7#1_2,Q7#1_3,Q7#1_4,Q8#1_1,Q8#1_2,Q8#1_3,Q8#1_4,Q9#1_1,Q9#1_2,Q9#1_3,Q9#1_4
6,19,0,2.0,1.0,5.0,3.0,0.0,0.0,9.0,1.0,6,4,6,6,4,6,6,4,6,6,4,6,6,4,6,4,0,5,6,2,6,6,2,6,7,19,0,16,2,16,1,1,20,0,0,20,1,0,4,1.0,0.0,8.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,3.0,6.0
12,20,0,1.0,0.0,8.0,1.0,1.0,0.0,8.0,1.0,5,3,6,5,3,6,5,5,6,4,3,6,5,5,6,3,4,6,6,6,6,5,5,6,20,21,0,15,4,20,0,0,20,0,0,20,7,0,12,1.0,0.0,8.0,1.0,0.0,0.0,9.0,1.0,7.0,1.0,2.0,0.0
14,20,0,3.0,1.0,6.0,0.0,2.0,0.0,8.0,0.0,6,5,6,6,5,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,6,4,4,4,20,20,0,20,6,20,1,0,20,1,0,20,0,0,20,3.0,0.0,7.0,0.0,0.0,0.0,10.0,0.0,9.0,0.0,1.0,0.0
14,18,0,0.0,1.0,8.0,1.0,0.0,0.0,10.0,0.0,3,4,6,3,4,6,4,5,6,3,4,6,3,5,6,3,4,5,3,4,6,4,6,6,18,20,5,4,2,20,1,1,20,1,1,20,3,1,20,1.0,2.0,7.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,9.0,0.0
9,19,0,1.0,0.0,9.0,0.0,0.0,0.0,10.0,0.0,6,4,6,6,6,6,6,6,6,6,3,6,6,5,6,5,3,6,6,5,6,6,6,6,17,20,0,17,1,20,6,1,20,1,0,20,11,1,20,7.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,9.0
0,3,6,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,6,4,5,6,6,5,6,6,6,6,4,5,6,3,5,6,5,3,6,4,5,6,6,6,0,12,15,20,0,0,20,20,0,20,20,0,1,1,1,4.0,0.0,3.0,3.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0
10,20,0,2.0,5.0,3.0,0.0,2.0,2.0,6.0,0.0,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,3,3,3,6,6,5,3,3,3,18,20,0,10,2,16,4,4,20,0,0,20,4,4,3,3.0,6.0,1.0,0.0,0.0,0.0,10.0,0.0,3.0,5.0,1.0,1.0
17,20,0,1.0,0.0,1.0,8.0,1.0,0.0,7.0,2.0,6,2,6,6,4,6,6,3,6,5,1,6,5,3,3,3,3,3,5,4,5,4,4,4,20,20,0,6,2,20,2,0,20,3,0,20,2,0,20,1.0,0.0,2.0,7.0,3.0,0.0,0.0,7.0,0.0,0.0,2.0,8.0
15,20,0,3.0,1.0,6.0,0.0,1.0,1.0,8.0,0.0,3,2,5,3,1,6,3,3,6,2,1,6,2,3,5,2,3,4,4,5,6,4,5,3,20,20,0,2,0,18,4,2,20,1,0,20,4,2,20,5.0,2.0,3.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,8.0,0.0
0,0,5,5.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,6,5,5,6,6,6,6,5,5,6,4,5,6,5,6,6,6,5,6,6,6,6,6,6,0,0,14,12,12,9,19,19,0,19,0,0,16,16,2,5.0,4.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0
