partID,lang_profile
acj047,mono
acj297,l1_eng
acr108,l1_eng
aei079,l1_eng
ael236,mono
aes050,l3_eng
afs116,l1_eng
ake031,l1_eng
ala054,l3_eng
ALA059,l3_eng
alc125,l3_eng
als024,l1_eng
als086,l3_eng
ama302,l1_eng
anf025,l1_eng
anm099,mono
anm149,l1_eng
aps124,l3_eng
arc053,l3_eng
arl041,l3_eng
arn090,l3_eng
arr030,l3_eng
ASL181,l1_eng
asp259,l1_eng
auj020,l1_eng
awm067,mono
bsa220,mono
dis022,l1_eng
eir057,l1_eng
elc149,l3_eng
enp048,l3_eng
era049,l3_eng
ers160,mono
eum191,l3_eng
hya248,l1_eng
irb111,l3_eng
irm067,l1_eng
irm109,l3_eng
irs023,l1_eng
irx018,l3_eng
ldm015,l3_eng
lic063,l1_eng
lld029,mono
lld031,l1_eng
lnm175,l1_eng
lrs017,l3_eng
lrv099,l3_eng
mae116,mono
nde013,l1_eng
nie059,l1_eng
nir048,l1_eng
nlc102,l3_eng
oan043,mono
onj010,mono
orx026,l1_eng
osl017,mono
rre101,l3_eng
rrl106,mono
rrr070,l3_eng
rsj0489,mono
ruj030,mono
sas050,mono
sln040,mono
srm056,l3_eng
usm074,l3_eng
vrc053,l1_eng
ywm017,mono
