,PC1,PC2
Q1#1_1,0.8348698864046671,0.0617668820734742
Q1#1_2,0.9445223124200551,-0.014524421985194777
Q1#1_3,-0.8181067292732094,0.03650426784501977
Q10#1_1,-0.18450874821046973,-0.590207337564376
Q10#1_2,-0.6988166305581278,0.42235881642954975
Q10#1_3,0.7643166337452443,0.038571562919774725
Q10#1_4,0.2319247383772749,-0.10757589553536277
Q11#1_1,-0.33698053370019015,-0.41895425946986825
Q11#1_2,-0.7676108184794326,0.28042794230232676
Q11#1_3,0.9515846862974846,0.05159316080816822
Q11#1_4,0.14998877395946197,-0.24874871431561255
Q12_1,-0.6269434576429256,-0.47481416501534407
Q12_2,-0.8465729953000596,-0.14661165530559442
Q12_3,0.7125551802898353,-0.31275774306288706
Q13_1,-0.5658161065204911,-0.37225304411358867
Q13_2,-0.7902450446496135,-0.29450503768570147
Q13_3,0.5283331991551139,-0.22694968976954719
Q14_1,-0.5991966649012388,-0.42730579557453274
Q14_2,-0.7490145384726005,-0.25540998962174527
Q14_3,0.6731875142748688,-0.19177051992860636
Q15_1,-0.6559456334524093,-0.45300052305353966
Q15_2,-0.8138497447217995,-0.1257030766141282
Q15_3,0.7496887387795013,-0.15171094391127446
Q16_1,0.019303803536879896,-0.8414924492069963
Q16_2,-0.6026500538258718,-0.1724468521914949
Q16_3,0.6276365392636013,-0.39385736513023517
Q16_5_1,-0.11622450076632804,-0.8192020111440321
Q16_5_2,-0.6719097466610094,-0.13457998971929766
Q16_5_3,0.7733529061478691,-0.153990844754228
Q17_1,0.0028333906067033046,-0.6653045149414979
Q17_2,-0.4805331782705777,-0.20041921611603397
Q17_3,0.39529418839498365,-0.27398198418185243
Q18_1,-0.1363290449818901,-0.6055868083760679
Q18_2,-0.6020755080274659,-0.12015324798333399
Q18_3,0.32829479682886165,-0.10764067279625954
Q2#1_1,0.7788263305016758,0.12194078202551172
Q2#1_2,0.9469865918198191,-0.037271341215889334
Q2#1_3,-0.9148775111304738,0.11833470321595838
Q3#1_1,-0.46355569402613545,-0.3230844839062241
Q3#1_2,-0.8314931701715333,0.009434009389811183
Q3#1_3,0.6413764133196684,-0.020186780809415605
Q4#1_1,-0.9503995993883086,-0.004018548032648398
Q4#1_2,-0.9591552361446172,0.0003193333625860097
Q4#1_3,0.8976298748556968,0.05415373428483345
Q5#1_1,-0.6195873170585756,-0.3214651382961934
Q5#1_2,-0.810496032783091,0.21578207914331393
Q5#1_3,0.9533654702958383,-0.01750168733416643
Q6#1_1,-0.47977488009523844,0.11294420056290458
Q6#1_2,-0.6659117182398853,0.2900509657172517
Q6#1_3,0.6344897479815612,-0.06627308297947651
Q7#1_1,-0.2288177414585896,-0.40181435589612297
Q7#1_2,-0.6074310036657274,0.5452815820401471
Q7#1_3,0.5977008848096553,-0.11263895512541919
Q7#1_4,0.17675682041075555,-0.2128473057107115
Q8#1_1,-0.35671185449385234,-0.6193712871768089
Q8#1_2,-0.7401604823286031,0.46358425697484335
Q8#1_3,0.8798183070771677,0.08673436435541908
Q8#1_4,0.19518591189700513,-0.05744732514634469
Q9#1_1,-0.0737069704931447,-0.09662944549413477
Q9#1_2,-0.4584766115968864,0.565778816032456
Q9#1_3,0.20444762614725245,-0.18040130878210137
Q9#1_4,0.22683226315308808,-0.27900209838900336
