Feature,Importance (MDI),Std,q25,q75,Language,partID,syllable,lang_profile,pc1,pc2,Stdx2
spec_dur,0.3421998518275507,0.3046686505658731,0.0,0.5306494494129784,cat,afs116,pen,l1_eng,6.165043938888648,2.9911835511439766,0.6093373011317462
f0_creak,0.29169193767246826,0.2874989102537089,0.0,0.5087361205170731,cat,afs116,pen,l1_eng,6.165043938888648,2.9911835511439766,0.5749978205074178
vowel_periph,0.36610821049998105,0.3497227807959324,0.0,0.669562943851989,cat,afs116,pen,l1_eng,6.165043938888648,2.9911835511439766,0.6994455615918648
spec_dur,0.4612301483078176,0.1387072321852306,0.3641552311998546,0.5571858184176262,eng,afs116,pen,l1_eng,6.165043938888648,2.9911835511439766,0.2774144643704612
f0_creak,0.25458001674069575,0.09568073200988966,0.18884962674055938,0.3173368106489953,eng,afs116,pen,l1_eng,6.165043938888648,2.9911835511439766,0.19136146401977933
vowel_periph,0.2841898349514867,0.12050787160607171,0.198415140713124,0.36464700203225064,eng,afs116,pen,l1_eng,6.165043938888648,2.9911835511439766,0.24101574321214342
spec_dur,0.3165968699452262,0.1725314402101502,0.195549810364896,0.42560542411238467,spa,afs116,pen,l1_eng,6.165043938888648,2.9911835511439766,0.3450628804203004
f0_creak,0.29921680877803336,0.20090646199535872,0.14687573170445284,0.4298337979880546,spa,afs116,pen,l1_eng,6.165043938888648,2.9911835511439766,0.40181292399071744
vowel_periph,0.3841863212767405,0.21641547971130534,0.23238884335951726,0.5442957017057997,spa,afs116,pen,l1_eng,6.165043938888648,2.9911835511439766,0.4328309594226107
spec_dur,0.3268339313740324,0.1125786577977193,0.2522053062880354,0.40022791985459827,cat,ala059,pen,l3_eng,-2.5142055322180346,-3.8533627737632985,0.2251573155954386
f0_creak,0.3523602093740126,0.12166494546218166,0.26127010708569076,0.4352589968790722,cat,ala059,pen,l3_eng,-2.5142055322180346,-3.8533627737632985,0.24332989092436333
vowel_periph,0.32080585925195504,0.11809411451947574,0.23448060084571978,0.4027569089299368,cat,ala059,pen,l3_eng,-2.5142055322180346,-3.8533627737632985,0.23618822903895148
