key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,31.7237,space,10.071,0,0,0,3,1,"No, he won't WASH the dishes, but he will dry them.",com113,2022-12-19_10h19.07.668,english_exp2,2022.1.4,Win32,59.89099838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.0999,0,1,1,2,1,"No, we couldn't SEE the flowers, but we could smell them.",com113,2022-12-19_10h19.07.668,english_exp2,2022.1.4,Win32,59.89099838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.2645,0,2,2,1,1,"No, there wasn't DEW on the ground, but there was frost.",com113,2022-12-19_10h19.07.668,english_exp2,2022.1.4,Win32,59.89099838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.0161,0,3,3,0,1,"No, she doesn't EAT the plants, but she grows them.",com113,2022-12-19_10h19.07.668,english_exp2,2022.1.4,Win32,59.89099838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,com113,2022-12-19_10h19.07.668,english_exp2,2022.1.4,Win32,59.89099838,space,7.3742,space,5.7165,0,0,0,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,com113,2022-12-19_10h19.07.668,english_exp2,2022.1.4,Win32,59.89099838,,,space,5.273,0,1,1,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,com113,2022-12-19_10h19.07.668,english_exp2,2022.1.4,Win32,59.89099838,,,space,5.6472,0,2,2,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,com113,2022-12-19_10h19.07.668,english_exp2,2022.1.4,Win32,59.89099838,,,space,6.0409,0,3,3,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,com113,2022-12-19_10h19.07.668,english_exp2,2022.1.4,Win32,59.89099838,,,space,6.427,0,4,4,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,com113,2022-12-19_10h19.07.668,english_exp2,2022.1.4,Win32,59.89099838,,,space,6.2077,0,5,5,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
