key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,1552.9943,space,6.0713,0,0,0,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",dis022,02/21/2023_20h22.53.784,spanish_exp2,2022.1.4,Win32,61.00536847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.62,0,1,1,2,1,"""Me gustaría un café"" —pienso complacido.",dis022,02/21/2023_20h22.53.784,spanish_exp2,2022.1.4,Win32,61.00536847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.1161,0,2,2,1,1,"""Depende del clima"" —respondió claramente.",dis022,02/21/2023_20h22.53.784,spanish_exp2,2022.1.4,Win32,61.00536847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.325,0,3,3,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",dis022,02/21/2023_20h22.53.784,spanish_exp2,2022.1.4,Win32,61.00536847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,dis022,02/21/2023_20h22.53.784,spanish_exp2,2022.1.4,Win32,61.00536847,space,6.2501,space,5.9224,0,0,0,4,1,target,ultimate,"""Desarrollen esta ecuación"" —los examinó seriosamente.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,dis022,02/21/2023_20h22.53.784,spanish_exp2,2022.1.4,Win32,61.00536847,,,space,4.7669,0,1,1,5,1,target,penultimate,"""Estas son las luces nuevas"" —ilumino contenta.",iluminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,dis022,02/21/2023_20h22.53.784,spanish_exp2,2022.1.4,Win32,61.00536847,,,space,5.0545,0,2,2,11,1,target,penultimate,"""Los Osvald, culpables"" —les incrimino seguro.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,dis022,02/21/2023_20h22.53.784,spanish_exp2,2022.1.4,Win32,61.00536847,,,space,6.4335,0,3,3,2,1,target,ultimate,"""Este es el camino más corto"" —la descaminó complacido.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,dis022,02/21/2023_20h22.53.784,spanish_exp2,2022.1.4,Win32,61.00536847,,,space,6.8296,0,4,4,3,1,target,penultimate,"""La directora Pérez renuncia a su cargo"" —disemino compungido.",diseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,dis022,02/21/2023_20h22.53.784,spanish_exp2,2022.1.4,Win32,61.00536847,,,space,12.0422,0,5,5,13,1,target,penultimate,"""Se llamará beta"" —lo denomino complacido.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
