key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,491.5526,space,9.1811,0,0,0,3,1,"No, he won't WASH the dishes, but he will dry them.",acj297,2023-03-20_11h22.58.884,english_experiment2,2022.1.4,Win32,59.41770648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.468,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",acj297,2023-03-20_11h22.58.884,english_experiment2,2022.1.4,Win32,59.41770648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.1144,0,2,2,1,1,"No, there wasn't DEW on the ground, but there was frost.",acj297,2023-03-20_11h22.58.884,english_experiment2,2022.1.4,Win32,59.41770648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.1837,0,3,3,2,1,"No, we couldn't SEE the flowers, but we could smell them.",acj297,2023-03-20_11h22.58.884,english_experiment2,2022.1.4,Win32,59.41770648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,acj297,2023-03-20_11h22.58.884,english_experiment2,2022.1.4,Win32,59.41770648,space,5.0828,space,6.0998,0,0,0,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,acj297,2023-03-20_11h22.58.884,english_experiment2,2022.1.4,Win32,59.41770648,,,space,5.1535,0,1,1,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,acj297,2023-03-20_11h22.58.884,english_experiment2,2022.1.4,Win32,59.41770648,,,space,6.1848,0,2,2,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,acj297,2023-03-20_11h22.58.884,english_experiment2,2022.1.4,Win32,59.41770648,,,space,5.449,0,3,3,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,acj297,2023-03-20_11h22.58.884,english_experiment2,2022.1.4,Win32,59.41770648,,,space,4.4467,0,4,4,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,acj297,2023-03-20_11h22.58.884,english_experiment2,2022.1.4,Win32,59.41770648,,,space,4.8955,0,5,5,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
