key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,182.1554,space,9.6021,0,0,0,0,1,"No, she doesn't EAT the plants, but she grows them.",aei079,2023-04-18_08h16.48.471,english_experiment2,2022.1.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.0685,0,1,1,1,1,"No, there wasn't DEW on the ground, but there was frost.",aei079,2023-04-18_08h16.48.471,english_experiment2,2022.1.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.5878,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",aei079,2023-04-18_08h16.48.471,english_experiment2,2022.1.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.1667,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",aei079,2023-04-18_08h16.48.471,english_experiment2,2022.1.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aei079,2023-04-18_08h16.48.471,english_experiment2,2022.1.4,Win32,59.95203837,space,6.4353,space,7.2802,0,0,0,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aei079,2023-04-18_08h16.48.471,english_experiment2,2022.1.4,Win32,59.95203837,,,space,7.5516,0,1,1,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aei079,2023-04-18_08h16.48.471,english_experiment2,2022.1.4,Win32,59.95203837,,,space,7.0144,0,2,2,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aei079,2023-04-18_08h16.48.471,english_experiment2,2022.1.4,Win32,59.95203837,,,space,6.5485,0,3,3,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aei079,2023-04-18_08h16.48.471,english_experiment2,2022.1.4,Win32,59.95203837,,,space,6.1861,0,4,4,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aei079,2023-04-18_08h16.48.471,english_experiment2,2022.1.4,Win32,59.95203837,,,space,6.4678,0,5,5,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aei079,2023-04-18_08h16.48.471,english_experiment2,2022.1.4,Win32,59.95203837,,,space,6.5011,0,6,6,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aei079,2023-04-18_08h16.48.471,english_experiment2,2022.1.4,Win32,59.95203837,,,space,6.3841,0,7,7,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aei079,2023-04-18_08h16.48.471,english_experiment2,2022.1.4,Win32,59.95203837,,,space,6.8373,0,8,8,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
