key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialcatalan,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trial_randomizer.thisRepN,trial_randomizer.thisTrialN,trial_randomizer.thisN,trial_randomizer.thisIndex,trial_randomizer.ran,fillertarget,stress,wordcatalan,verbcatalan,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialRep.thisRepN,mainTrialRep.thisTrialN,mainTrialRep.thisN,mainTrialRep.thisIndex,mainTrialRep.ran,trial_randomizer2.thisRepN,trial_randomizer2.thisTrialN,trial_randomizer2.thisN,trial_randomizer2.thisIndex,trial_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,349.5967,space,8.2362,0,0,0,1,1,"""Depèn de la temporada"" —explica seriòs.",,2023-02-18_09h51.24.034,catalan_exp2,2022.1.4,Win32,29.9832094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.9619,0,1,1,2,1,"""Voldria una mica de cafè"" —pensa complaguda.",,2023-02-18_09h51.24.034,catalan_exp2,2022.1.4,Win32,29.9832094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.2401,0,2,2,0,1,"""Ha regalat un pastís al seu nebot"" —va pensar confiat.",,2023-02-18_09h51.24.034,catalan_exp2,2022.1.4,Win32,29.9832094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.8217,0,3,3,3,1,"""T'estimo molt"" —va sospirar content.",,2023-02-18_09h51.24.034,catalan_exp2,2022.1.4,Win32,29.9832094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-18_09h51.24.034,catalan_exp2,2022.1.4,Win32,29.9832094,space,3.6341,space,7.2662,0,0,0,3,1,target,ultimate,"""El president de l'estat està malalt"" —va disseminar prematura.",disseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-18_09h51.24.034,catalan_exp2,2022.1.4,Win32,29.9832094,,,space,4.9351,0,1,1,7,1,target,ultimate,"""És culpa teva"" —li va recriminar seriosa.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-18_09h51.24.034,catalan_exp2,2022.1.4,Win32,29.9832094,,,space,5.0699,0,2,2,2,1,target,penultimate,"""Aquest no és el meu número de telèfon"" —la descamina complagut.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-18_09h51.24.034,catalan_exp2,2022.1.4,Win32,29.9832094,,,space,4.6985,0,3,3,1,1,target,ultimate,"""Amb la pluja el vent és molt fort"" —va determinar complaguda.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-18_09h51.24.034,catalan_exp2,2022.1.4,Win32,29.9832094,,,space,4.5003,0,4,4,6,1,target,penultimate,"""Confirmin la cita per demà"" —les encamina tímida.",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-18_09h51.24.034,catalan_exp2,2022.1.4,Win32,29.9832094,,,space,4.4744,0,5,5,11,1,target,ultimate,"""Van entrar sense demanar permís"" —les va incriminar confiat.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
