key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,2198.4998,space,6.9257,0,0,0,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",aes050,03-03-2023_19h45.32.452,spanish_exp2,2022.1.4,Win32,59.21013678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.0264,0,1,1,1,1,"""Depende del clima"" —respondió claramente.",aes050,03-03-2023_19h45.32.452,spanish_exp2,2022.1.4,Win32,59.21013678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.8674,0,2,2,2,1,"""Me gustaría un café"" —pienso complacido.",aes050,03-03-2023_19h45.32.452,spanish_exp2,2022.1.4,Win32,59.21013678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.6446,0,3,3,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",aes050,03-03-2023_19h45.32.452,spanish_exp2,2022.1.4,Win32,59.21013678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aes050,03-03-2023_19h45.32.452,spanish_exp2,2022.1.4,Win32,59.21013678,space,2.8103,space,5.2967,0,0,0,1,1,target,ultimate,"""Con la lluvia el viento es muy fuerte"" —determinó complacida.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aes050,03-03-2023_19h45.32.452,spanish_exp2,2022.1.4,Win32,59.21013678,,,space,4.0157,0,1,1,4,1,target,penultimate,"""Escriban la respuesta"" —los examino seriamente.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aes050,03-03-2023_19h45.32.452,spanish_exp2,2022.1.4,Win32,59.21013678,,,space,4.2677,0,2,2,8,1,target,penultimate,"""Este tiene menos azúcar"" —discrimino tímida.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aes050,03-03-2023_19h45.32.452,spanish_exp2,2022.1.4,Win32,59.21013678,,,space,5.2543,0,3,3,3,1,target,ultimate,"""El presidente del estado se encuentra enfermo"" —diseminó compungido.",diseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aes050,03-03-2023_19h45.32.452,spanish_exp2,2022.1.4,Win32,59.21013678,,,space,4.5476,0,4,4,0,1,target,penultimate,"""No me gusta el té de manzanilla"" —abomino con certeza.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aes050,03-03-2023_19h45.32.452,spanish_exp2,2022.1.4,Win32,59.21013678,,,space,4.5405,0,5,5,13,1,target,ultimate,"""Retrato de un hombre triste"" —lo denominó complacido. ",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aes050,03-03-2023_19h45.32.452,spanish_exp2,2022.1.4,Win32,59.21013678,,,space,5.1786,0,6,6,2,1,target,penultimate,"""Este no es mi número de teléfono"" —la descamino complacido.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aes050,03-03-2023_19h45.32.452,spanish_exp2,2022.1.4,Win32,59.21013678,,,space,4.6618,0,7,7,6,1,target,penultimate,"""Confirma la cita para mañana"" —le encamino con ilusión. ",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
