key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialcatalan,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trial_randomizer.thisRepN,trial_randomizer.thisTrialN,trial_randomizer.thisN,trial_randomizer.thisIndex,trial_randomizer.ran,fillertarget,stress,wordcatalan,verbcatalan,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialRep.thisRepN,mainTrialRep.thisTrialN,mainTrialRep.thisN,mainTrialRep.thisIndex,mainTrialRep.ran,trial_randomizer2.thisRepN,trial_randomizer2.thisTrialN,trial_randomizer2.thisN,trial_randomizer2.thisIndex,trial_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,51.6699,space,9.6728,0,0,0,2,1,"""Voldria una mica de cafè"" —pensa complaguda.",,2023-02-20_09h35.13.794,catalan_exp2,2022.1.4,Win32,60.62810719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.7411,0,1,1,1,1,"""Depèn de la temporada"" —explica seriòs.",,2023-02-20_09h35.13.794,catalan_exp2,2022.1.4,Win32,60.62810719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.5128,0,2,2,0,1,"""Ha regalat un pastís al seu nebot"" —va pensar confiat.",,2023-02-20_09h35.13.794,catalan_exp2,2022.1.4,Win32,60.62810719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.9553,0,3,3,3,1,"""T'estimo molt"" —va sospirar content.",,2023-02-20_09h35.13.794,catalan_exp2,2022.1.4,Win32,60.62810719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-20_09h35.13.794,catalan_exp2,2022.1.4,Win32,60.62810719,space,11.1335,space,7.8477,0,0,0,10,1,target,ultimate,"""Érem a casa a l'hora del crim"" —va eliminar segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-20_09h35.13.794,catalan_exp2,2022.1.4,Win32,60.62810719,,,space,5.9676,0,1,1,8,1,target,ultimate,"""Aquest és més fort"" —va discriminar tímid.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-20_09h35.13.794,catalan_exp2,2022.1.4,Win32,60.62810719,,,space,9.6571,0,2,2,7,1,target,penultimate,"""No m'agrada que em truquis"" —li recrimina seriosa.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-20_09h35.13.794,catalan_exp2,2022.1.4,Win32,60.62810719,,,space,10.2827,0,3,3,9,1,target,penultimate,"""No passaré mai l'examen"" —es desanima seriós.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-20_09h35.13.794,catalan_exp2,2022.1.4,Win32,60.62810719,,,space,9.8755,0,4,4,6,1,target,ultimate,"""Llegiu aquests articles"" —les va encaminar tímida.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-20_09h35.13.794,catalan_exp2,2022.1.4,Win32,60.62810719,,,space,9.074,0,5,5,13,1,target,penultimate,"""Aquest gen es diu beta"" —denomina concret.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
