key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,89.0211,space,9.2377,0,0,0,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.9917,0,1,1,1,1,"""Depende del clima"" —respondió claramente.",afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.495,0,2,2,2,1,"""Me gustaría un café"" —pienso complacido.",afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.6077,0,3,3,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,space,4.3611,space,11.142,0,0,0,5,1,target,penultimate,"""Estas son las luces nuevas"" —ilumino contenta.",iluminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,11.8085,0,1,1,0,1,target,ultimate,"""No me gustan las corridas"" —abominó con certeza.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,10.3155,0,2,2,9,1,target,penultimate,"""No puedo estudiar matemáticas"" —me desanimo compungida.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,13.2955,0,3,3,11,1,target,penultimate,"""Los Osvald, culpables"" —les incrimino seguro.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,10.077,0,4,4,6,1,target,ultimate,"""Lee estos artículos"" —le encaminó con ilusión.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,11.137,0,5,5,3,1,target,penultimate,"""La directora Pérez renuncia a su cargo"" —disemino compungido.",diseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,10.4522,0,6,6,1,1,target,penultimate,"""La masa del átomo es medible"" —determino complacida.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,18.5655,0,7,7,4,1,target,ultimate,"""Desarrollen esta ecuación"" —los examinó seriamente.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,11.7217,0,8,8,7,1,target,penultimate,"""No me gusta su conducta"" —les recrimino con intensidad.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,7.952,0,9,9,10,1,target,ultimate,"""Tarjeta roja"" —los eliminó segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,10.2179,0,10,10,2,1,target,ultimate,"""Este es el camino más corto"" —la descaminó complacido.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,10.674,0,11,11,12,1,target,ultimate,"""Este insecticida es muy eficaz"" —exterminó complacida.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,6.6278,0,12,12,8,1,target,ultimate,"""Este es más fuerte"" —discriminó tímida.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,11.2352,0,13,13,13,1,target,penultimate,"""Se llamará beta"" —lo denomino complacido.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,,,,,,,,,,,,,0,0,0,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,8.2379,0,0,0,2,1,target,penultimate,"""Este no es mi número de teléfono"" —la descamino complacido.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,9.0166,0,1,1,4,1,target,penultimate,"""Escriban la respuesta"" —los examino seriamente.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,13.7039,0,2,2,8,1,target,penultimate,"""Este tiene menos azúcar"" —discrimino tímida.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,13.3679,0,3,3,9,1,target,ultimate,"""No puedo cocinar sin quemar la comida"" —me desanimó compungida.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,7.8143,0,4,4,5,1,target,ultimate,"""Compré esta lámpara ayer"" —iluminó contenta.",iluminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,13.6284,0,5,5,1,1,target,ultimate,"""Con la lluvia el viento es muy fuerte"" —determinó complacida.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,10.5833,0,6,6,6,1,target,penultimate,"""Confirma la cita para mañana"" —le encamino con ilusión. ",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,8.7003,0,7,7,11,1,target,ultimate,"""Entraron sin pedir permiso"" —les incriminó seguro.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,14.0853,0,8,8,7,1,target,ultimate,"""Me robaron"" —les recriminó con intensidad.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,11.9243,0,9,9,12,1,target,penultimate,"""No habrá más cucarachas"" —extermino complacida.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,10.7856,0,10,10,0,1,target,penultimate,"""No me gusta el té de manzanilla"" —abomino con certeza.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,9.2669,0,11,11,10,1,target,penultimate,"""No son necesarios"" —los elimino segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,afs116,03-10-2023_15h53.52.817,spanish_exp2,2022.1.4,Win32,59.53798523,,,space,16.3663,0,12,12,13,1,target,ultimate,"""Retrato de un hombre triste"" —lo denominó complacido. ",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
