key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,157.1516,space,8.1806,0,0,0,3,1,"No, he won't WASH the dishes, but he will dry them.",ake031,03-01-2023_16h52.07.124,english_experiment2,2022.1.4,Win32,60.27000964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.142,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",ake031,03-01-2023_16h52.07.124,english_experiment2,2022.1.4,Win32,60.27000964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.8184,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",ake031,03-01-2023_16h52.07.124,english_experiment2,2022.1.4,Win32,60.27000964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.4259,0,3,3,1,1,"No, there wasn't DEW on the ground, but there was frost.",ake031,03-01-2023_16h52.07.124,english_experiment2,2022.1.4,Win32,60.27000964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ake031,03-01-2023_16h52.07.124,english_experiment2,2022.1.4,Win32,60.27000964,space,5.4103,space,5.373,0,0,0,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ake031,03-01-2023_16h52.07.124,english_experiment2,2022.1.4,Win32,60.27000964,,,space,4.6015,0,1,1,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ake031,03-01-2023_16h52.07.124,english_experiment2,2022.1.4,Win32,60.27000964,,,space,4.3752,0,2,2,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ake031,03-01-2023_16h52.07.124,english_experiment2,2022.1.4,Win32,60.27000964,,,space,4.9633,0,3,3,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ake031,03-01-2023_16h52.07.124,english_experiment2,2022.1.4,Win32,60.27000964,,,space,4.6239,0,4,4,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ake031,03-01-2023_16h52.07.124,english_experiment2,2022.1.4,Win32,60.27000964,,,space,4.3813,0,5,5,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
