key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,30.1455,space,5.3479,0,0,0,1,1,"""Depende del clima"" —respondió claramente.",ake031,03-06-2023_16h51.50.191,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.1266,0,1,1,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",ake031,03-06-2023_16h51.50.191,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.0622,0,2,2,2,1,"""Me gustaría un café"" —pienso complacido.",ake031,03-06-2023_16h51.50.191,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,8.5687,0,3,3,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",ake031,03-06-2023_16h51.50.191,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ake031,03-06-2023_16h51.50.191,spanish_exp2,2022.1.4,MacIntel,120.0048002,space,11.5202,space,5.2949,0,0,0,11,1,target,ultimate,"""Entraron sin pedir permiso"" —les incriminó seguro.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ake031,03-06-2023_16h51.50.191,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.995,0,1,1,2,1,target,penultimate,"""Este no es mi número de teléfono"" —la descamino complacido.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ake031,03-06-2023_16h51.50.191,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.4627,0,2,2,12,1,target,penultimate,"""No habrá más cucarachas"" —extermino complacida.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ake031,03-06-2023_16h51.50.191,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.8963,0,3,3,0,1,target,penultimate,"""No me gusta el té de manzanilla"" —abomino con certeza.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ake031,03-06-2023_16h51.50.191,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.6229,0,4,4,5,1,target,ultimate,"""Compré esta lámpara ayer"" —iluminó contenta.",iluminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ake031,03-06-2023_16h51.50.191,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,7.5155,0,5,5,3,1,target,ultimate,"""El presidente del estado se encuentra enfermo"" —diseminó compungido.",diseminar,1,,,,,,,,,,,,,,,,,,,,,,,
