key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialcatalan,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trial_randomizer.thisRepN,trial_randomizer.thisTrialN,trial_randomizer.thisN,trial_randomizer.thisIndex,trial_randomizer.ran,fillertarget,stress,wordcatalan,verbcatalan,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialRep.thisRepN,mainTrialRep.thisTrialN,mainTrialRep.thisN,mainTrialRep.thisIndex,mainTrialRep.ran,trial_randomizer2.thisRepN,trial_randomizer2.thisTrialN,trial_randomizer2.thisN,trial_randomizer2.thisIndex,trial_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,183.7261,space,13.6544,0,0,0,2,1,"""Voldria una mica de cafè"" —pensa complaguda.",ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.8743,0,1,1,1,1,"""Depèn de la temporada"" —explica seriòs.",ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.4096,0,2,2,0,1,"""Ha regalat un pastís al seu nebot"" —va pensar confiat.",ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.3369,0,3,3,3,1,"""T'estimo molt"" —va sospirar content.",ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,space,9.3646,space,5.7353,0,0,0,7,1,target,ultimate,"""És culpa teva"" —li va recriminar seriosa.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,space,5.6602,0,1,1,8,1,target,penultimate,"""Aquest té menys sucre"" —discrimina tímid.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,space,6.2321,0,2,2,4,1,target,penultimate,"""Escriguin la resposta"" —els examina clarament.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,space,6.4403,0,3,3,12,1,target,penultimate,"""No hi haurà més bestioles"" —extermina complaguda.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,space,6.7444,0,4,4,0,1,target,penultimate,"""No m'agrada el te de camamilla"" —abomina plena.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,space,6.3708,0,5,5,10,1,target,penultimate,"""No són necessaris"" —elimina segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,space,6.9989,0,6,6,9,1,target,ultimate,"""No puc cuinar sense cremar el menjar"" —es va desanimar seriós.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,space,6.6876,0,7,7,6,1,target,penultimate,"""Confirmin la cita per demà"" —les encamina tímida.",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,space,6.6558,0,8,8,13,1,target,ultimate,"""Retrat d'un home trist"" —va denominar concret.",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,space,6.7327,0,9,9,11,1,target,ultimate,"""Van entrar sense demanar permís"" —les va incriminar confiat.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,space,6.7484,0,10,10,1,1,target,ultimate,"""Amb la pluja el vent és molt fort"" —va determinar complaguda.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,space,7.4576,0,11,11,2,1,target,penultimate,"""Aquest no és el meu número de telèfon"" —la descamina complagut.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,space,7.5639,0,12,12,3,1,target,ultimate,"""El president de l'estat està malalt"" —va disseminar prematura.",disseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,space,7.2185,0,13,13,5,1,target,ultimate,"""Acabo de comprar aquest llum"" —va il·luminar content.",illuminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala054,02/18/2023_19h22.37.478,catalan_exp2,2022.1.4,Win32,60.20832079,,,space,5.4396,0,0,0,6,1,target,ultimate,"""Llegiu aquests articles"" —les va encaminar tímida.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
