key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialcatalan,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trial_randomizer.thisRepN,trial_randomizer.thisTrialN,trial_randomizer.thisN,trial_randomizer.thisIndex,trial_randomizer.ran,fillertarget,stress,wordcatalan,verbcatalan,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialRep.thisRepN,mainTrialRep.thisTrialN,mainTrialRep.thisN,mainTrialRep.thisIndex,mainTrialRep.ran,trial_randomizer2.thisRepN,trial_randomizer2.thisTrialN,trial_randomizer2.thisN,trial_randomizer2.thisIndex,trial_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,99.1313,space,9.1842,0,0,0,3,1,"""T'estimo molt"" —va sospirar content.",ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.7767,0,1,1,0,1,"""Ha regalat un pastís al seu nebot"" —va pensar confiat.",ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.07,0,2,2,1,1,"""Depèn de la temporada"" —explica seriòs.",ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.614,0,3,3,2,1,"""Voldria una mica de cafè"" —pensa complaguda.",ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,space,4.5507,space,6.1098,0,0,0,3,1,target,ultimate,"""El president de l'estat està malalt"" —va disseminar prematura.",disseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,3.8387,0,1,1,10,1,target,penultimate,"""No són necessaris"" —elimina segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,5.9804,0,2,2,11,1,target,ultimate,"""Van entrar sense demanar permís"" —les va incriminar confiat.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,10.5268,0,3,3,4,1,target,penultimate,"""Escriguin la resposta"" —els examina clarament.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,5.2143,0,4,4,7,1,target,ultimate,"""És culpa teva"" —li va recriminar seriosa.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,4.9713,0,5,5,0,1,target,penultimate,"""No m'agrada el te de camamilla"" —abomina plena.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,4.6824,0,6,6,8,1,target,penultimate,"""Aquest té menys sucre"" —discrimina tímid.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,4.9146,0,7,7,2,1,target,penultimate,"""Aquest no és el meu número de telèfon"" —la descamina complagut.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,4.9989,0,8,8,13,1,target,ultimate,"""Retrat d'un home trist"" —va denominar concret.",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,4.671,0,9,9,12,1,target,penultimate,"""No hi haurà més bestioles"" —extermina complaguda.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,5.1017,0,10,10,1,1,target,ultimate,"""Amb la pluja el vent és molt fort"" —va determinar complaguda.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,5.8781,0,11,11,5,1,target,ultimate,"""Acabo de comprar aquest llum"" —va il·luminar content.",illuminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,5.1206,0,12,12,6,1,target,penultimate,"""Confirmin la cita per demà"" —les encamina tímida.",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,5.7814,0,13,13,9,1,target,ultimate,"""No puc cuinar sense cremar el menjar"" —es va desanimar seriós.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,4.8641,0,0,0,7,1,target,penultimate,"""No m'agrada que em truquis"" —li recrimina seriosa.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,4.7562,0,1,1,13,1,target,penultimate,"""Aquest gen es diu beta"" —denomina concret.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,5.4087,0,2,2,9,1,target,penultimate,"""No passaré mai l'examen"" —es desanima seriós.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,5.4614,0,3,3,3,1,target,penultimate,"""La senyora Martí renuncia al seu càrrec"" —dissemina prematura.",disseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,5.2158,0,4,4,4,1,target,ultimate,"""Facin aquesta equació"" —els va examinar clarament.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,5.6992,0,5,5,11,1,target,penultimate,"""Vostès són les culpables"" —les incrimina confiat.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,5.3882,0,6,6,1,1,target,penultimate,"""La massa de l'àtom és mesurable"" —determina complaguda.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,5.7146,0,7,7,0,1,target,ultimate,"""No m'agraden gens les curses de braus"" —va abominar plena.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,5.2594,0,8,8,12,1,target,ultimate,"""Aquest verí va molt bé"" —va exterminar complaguda.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,4.8123,0,9,9,6,1,target,ultimate,"""Llegiu aquests articles"" —les va encaminar tímida.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,4.4063,0,10,10,2,1,target,ultimate,"""Aquest és el camí més curt"" —la va descaminar complagut.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,4.8756,0,11,11,10,1,target,ultimate,"""Érem a casa a l'hora del crim"" —va eliminar segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,4.7744,0,12,12,8,1,target,ultimate,"""Aquest és més fort"" —va discriminar tímid.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,4.0745,0,13,13,5,1,target,penultimate,"""Bon Nadal a tots"" —il·lumina content.",illuminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,,,,,,,,,,,,,0,1,1,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,,,,,,,,,,,,,,,,,,,space,9.5637,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,5.2396,0,0,0,1,1,target,ultimate,"""Amb la pluja el vent és molt fort"" —va determinar complaguda.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,3.4548,0,1,1,10,1,target,penultimate,"""No són necessaris"" —elimina segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,4.2216,0,2,2,4,1,target,penultimate,"""Escriguin la resposta"" —els examina clarament.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,4.6417,0,3,3,8,1,target,penultimate,"""Aquest té menys sucre"" —discrimina tímid.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALA059,2023-02-10_09h28.42.510,catalan_exp2,2022.1.4,Win32,59.83366242,,,space,5.8916,0,4,4,6,1,target,penultimate,"""Confirmin la cita per demà"" —les encamina tímida.",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
