key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialcatalan,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trial_randomizer.thisRepN,trial_randomizer.thisTrialN,trial_randomizer.thisN,trial_randomizer.thisIndex,trial_randomizer.ran,fillertarget,stress,wordcatalan,verbcatalan,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialRep.thisRepN,mainTrialRep.thisTrialN,mainTrialRep.thisN,mainTrialRep.thisIndex,mainTrialRep.ran,trial_randomizer2.thisRepN,trial_randomizer2.thisTrialN,trial_randomizer2.thisN,trial_randomizer2.thisIndex,trial_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,1763.0445,space,5.6236,0,0,0,0,1,"""Ha regalat un pastís al seu nebot"" —va pensar confiat.",ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.5273,0,1,1,3,1,"""T'estimo molt"" —va sospirar content.",ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.3027,0,2,2,1,1,"""Depèn de la temporada"" —explica seriòs.",ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.3666,0,3,3,2,1,"""Voldria una mica de cafè"" —pensa complaguda.",ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,space,3.5189,space,5.302,0,0,0,5,1,target,ultimate,"""Acabo de comprar aquest llum"" —va il·luminar content.",illuminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,4.8166,0,1,1,8,1,target,penultimate,"""Aquest té menys sucre"" —discrimina tímid.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,5.4137,0,2,2,2,1,target,penultimate,"""Aquest no és el meu número de telèfon"" —la descamina complagut.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,4.7786,0,3,3,0,1,target,penultimate,"""No m'agrada el te de camamilla"" —abomina plena.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,5.9791,0,4,4,9,1,target,ultimate,"""No puc cuinar sense cremar el menjar"" —es va desanimar seriós.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,5.2013,0,5,5,13,1,target,ultimate,"""Retrat d'un home trist"" —va denominar concret.",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,5.4181,0,6,6,1,1,target,ultimate,"""Amb la pluja el vent és molt fort"" —va determinar complaguda.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,5.2458,0,7,7,6,1,target,penultimate,"""Confirmin la cita per demà"" —les encamina tímida.",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,5.1448,0,8,8,12,1,target,penultimate,"""No hi haurà més bestioles"" —extermina complaguda.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,4.535,0,9,9,7,1,target,ultimate,"""És culpa teva"" —li va recriminar seriosa.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,4.4143,0,10,10,10,1,target,penultimate,"""No són necessaris"" —elimina segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,5.8163,0,11,11,3,1,target,ultimate,"""El president de l'estat està malalt"" —va disseminar prematura.",disseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,6.8684,0,12,12,11,1,target,ultimate,"""Van entrar sense demanar permís"" —les va incriminar confiat.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,5.551,0,13,13,4,1,target,penultimate,"""Escriguin la resposta"" —els examina clarament.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,6.7415,0,0,0,0,1,target,ultimate,"""No m'agraden gens les curses de braus"" —va abominar plena.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,5.9167,0,1,1,6,1,target,ultimate,"""Llegiu aquests articles"" —les va encaminar tímida.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,5.706,0,2,2,10,1,target,ultimate,"""Érem a casa a l'hora del crim"" —va eliminar segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,5.5966,0,3,3,13,1,target,penultimate,"""Aquest gen es diu beta"" —denomina concret.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,5.6758,0,4,4,12,1,target,ultimate,"""Aquest verí va molt bé"" —va exterminar complaguda.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,5.2156,0,5,5,9,1,target,penultimate,"""No passaré mai l'examen"" —es desanima seriós.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ALC125,03-18-2023_10h01.33.886,catalan_exp2,2022.1.4,Win32,60.29181237,,,space,5.9917,0,6,6,3,1,target,penultimate,"""La senyora Martí renuncia al seu càrrec"" —dissemina prematura.",disseminar,2,,,,,,,,,,,,,,,,,,,,,,,
