key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,165.6074,space,10.8181,0,0,0,3,1,"No, he won't WASH the dishes, but he will dry them.",alc125,2023-03-27_08h25.49.076,english_experiment2,2022.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.2676,0,1,1,2,1,"No, we couldn't SEE the flowers, but we could smell them.",alc125,2023-03-27_08h25.49.076,english_experiment2,2022.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.7564,0,2,2,0,1,"No, she doesn't EAT the plants, but she grows them.",alc125,2023-03-27_08h25.49.076,english_experiment2,2022.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.4188,0,3,3,1,1,"No, there wasn't DEW on the ground, but there was frost.",alc125,2023-03-27_08h25.49.076,english_experiment2,2022.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125,2023-03-27_08h25.49.076,english_experiment2,2022.1.4,Win32,59.99880002,space,7.4014,space,8.2654,0,0,0,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125,2023-03-27_08h25.49.076,english_experiment2,2022.1.4,Win32,59.99880002,,,space,8.2622,0,1,1,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125,2023-03-27_08h25.49.076,english_experiment2,2022.1.4,Win32,59.99880002,,,space,8.0785,0,2,2,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125,2023-03-27_08h25.49.076,english_experiment2,2022.1.4,Win32,59.99880002,,,space,7.4169,0,3,3,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125,2023-03-27_08h25.49.076,english_experiment2,2022.1.4,Win32,59.99880002,,,space,7.6176,0,4,4,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125,2023-03-27_08h25.49.076,english_experiment2,2022.1.4,Win32,59.99880002,,,space,7.3269,0,5,5,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
