key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,22.1156,space,6.3996,0,0,0,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.3037,0,1,1,1,1,"""Depende del clima"" —respondió claramente.",alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.7738,0,2,2,2,1,"""Me gustaría un café"" —pienso complacido.",alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.0137,0,3,3,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,space,10.9965,space,6.792,0,0,0,7,1,target,ultimate,"""Me robaron"" —les recriminó con intensidad.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.286,0,1,1,13,1,target,ultimate,"""Retrato de un hombre triste"" —lo denominó complacido. ",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.9044,0,2,2,12,1,target,penultimate,"""No habrá más cucarachas"" —extermino complacida.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.9141,0,3,3,9,1,target,ultimate,"""No puedo cocinar sin quemar la comida"" —me desanimó compungida.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.2274,0,4,4,3,1,target,ultimate,"""El presidente del estado se encuentra enfermo"" —diseminó compungido.",diseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.9417,0,5,5,10,1,target,penultimate,"""No son necesarios"" —los elimino segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.3768,0,6,6,11,1,target,ultimate,"""Entraron sin pedir permiso"" —les incriminó seguro.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.5849,0,7,7,2,1,target,penultimate,"""Este no es mi número de teléfono"" —la descamino complacido.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.1773,0,8,8,6,1,target,penultimate,"""Confirma la cita para mañana"" —le encamino con ilusión. ",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,7.4919,0,9,9,0,1,target,penultimate,"""No me gusta el té de manzanilla"" —abomino con certeza.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.5834,0,10,10,4,1,target,penultimate,"""Escriban la respuesta"" —los examino seriamente.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.3293,0,11,11,5,1,target,ultimate,"""Compré esta lámpara ayer"" —iluminó contenta.",iluminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.5305,0,12,12,1,1,target,ultimate,"""Con la lluvia el viento es muy fuerte"" —determinó complacida.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.3115,0,13,13,8,1,target,penultimate,"""Este tiene menos azúcar"" —discrimino tímida.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.4281,0,0,0,2,1,target,ultimate,"""Este es el camino más corto"" —la descaminó complacido.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.6734,0,1,1,10,1,target,ultimate,"""Tarjeta roja"" —los eliminó segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.8401,0,2,2,13,1,target,penultimate,"""Se llamará beta"" —lo denomino complacido.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.0503,0,3,3,1,1,target,penultimate,"""La masa del átomo es medible"" —determino complacida.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.2661,0,4,4,11,1,target,penultimate,"""Los Osvald, culpables"" —les incrimino seguro.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.1129,0,5,5,5,1,target,penultimate,"""Estas son las luces nuevas"" —ilumino contenta.",iluminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.094,0,6,6,3,1,target,penultimate,"""La directora Pérez renuncia a su cargo"" —disemino compungido.",diseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.9196,0,7,7,8,1,target,ultimate,"""Este es más fuerte"" —discriminó tímida.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.1772,0,8,8,9,1,target,penultimate,"""No puedo estudiar matemáticas"" —me desanimo compungida.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.0641,0,9,9,0,1,target,ultimate,"""No me gustan las corridas"" —abominó con certeza.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.9533,0,10,10,7,1,target,penultimate,"""No me gusta su conducta"" —les recrimino con intensidad.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.1095,0,11,11,4,1,target,ultimate,"""Desarrollen esta ecuación"" —los examinó seriamente.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.0482,0,12,12,12,1,target,ultimate,"""Este insecticida es muy eficaz"" —exterminó complacida.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.6491,0,13,13,6,1,target,ultimate,"""Lee estos artículos"" —le encaminó con ilusión.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,0,1,1,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,space,12.8714,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.469,0,0,0,9,1,target,ultimate,"""No puedo cocinar sin quemar la comida"" —me desanimó compungida.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.0343,0,1,1,12,1,target,penultimate,"""No habrá más cucarachas"" —extermino complacida.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.1525,0,2,2,10,1,target,penultimate,"""No son necesarios"" —los elimino segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.407,0,3,3,2,1,target,penultimate,"""Este no es mi número de teléfono"" —la descamino complacido.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.525,0,4,4,4,1,target,penultimate,"""Escriban la respuesta"" —los examino seriamente.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.8714,0,5,5,7,1,target,ultimate,"""Me robaron"" —les recriminó con intensidad.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.1981,0,6,6,11,1,target,ultimate,"""Entraron sin pedir permiso"" —les incriminó seguro.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.2376,0,7,7,0,1,target,penultimate,"""No me gusta el té de manzanilla"" —abomino con certeza.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.7601,0,8,8,8,1,target,penultimate,"""Este tiene menos azúcar"" —discrimino tímida.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.8107,0,9,9,5,1,target,ultimate,"""Compré esta lámpara ayer"" —iluminó contenta.",iluminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.1483,0,10,10,3,1,target,ultimate,"""El presidente del estado se encuentra enfermo"" —diseminó compungido.",diseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.4196,0,11,11,1,1,target,ultimate,"""Con la lluvia el viento es muy fuerte"" —determinó complacida.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.2887,0,12,12,6,1,target,penultimate,"""Confirma la cita para mañana"" —le encamino con ilusión. ",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.3684,0,13,13,13,1,target,ultimate,"""Retrato de un hombre triste"" —lo denominó complacido. ",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.9838,0,0,0,3,1,target,penultimate,"""La directora Pérez renuncia a su cargo"" —disemino compungido.",diseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.9539,0,1,1,12,1,target,ultimate,"""Este insecticida es muy eficaz"" —exterminó complacida.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.5541,0,2,2,8,1,target,ultimate,"""Este es más fuerte"" —discriminó tímida.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.3314,0,3,3,2,1,target,ultimate,"""Este es el camino más corto"" —la descaminó complacido.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.297,0,4,4,1,1,target,penultimate,"""La masa del átomo es medible"" —determino complacida.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.0101,0,5,5,5,1,target,penultimate,"""Estas son las luces nuevas"" —ilumino contenta.",iluminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.0652,0,6,6,4,1,target,ultimate,"""Desarrollen esta ecuación"" —los examinó seriamente.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.2992,0,7,7,0,1,target,ultimate,"""No me gustan las corridas"" —abominó con certeza.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.3301,0,8,8,9,1,target,penultimate,"""No puedo estudiar matemáticas"" —me desanimo compungida.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.3088,0,9,9,11,1,target,penultimate,"""Los Osvald, culpables"" —les incrimino seguro.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.1455,0,10,10,7,1,target,penultimate,"""No me gusta su conducta"" —les recrimino con intensidad.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.7916,0,11,11,13,1,target,penultimate,"""Se llamará beta"" —lo denomino complacido.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.0972,0,12,12,6,1,target,ultimate,"""Lee estos artículos"" —le encaminó con ilusión.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.3243,0,13,13,10,1,target,ultimate,"""Tarjeta roja"" —los eliminó segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,0,1,1,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,space,12.245,1,0,1,0,1,,,,,,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.3202,,,,,,target,penultimate,"""Este tiene menos azúcar"" —discrimino tímida.",discriminar,1,,,,,,,,,,,,,,0,0,0,8,1,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.729,,,,,,target,penultimate,"""Escriban la respuesta"" —los examino seriamente.",examinar,1,,,,,,,,,,,,,,0,1,1,4,1,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.4568,,,,,,target,ultimate,"""Me robaron"" —les recriminó con intensidad.",recriminar,1,,,,,,,,,,,,,,0,2,2,7,1,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.8978,,,,,,target,ultimate,"""Entraron sin pedir permiso"" —les incriminó seguro.",incriminar,1,,,,,,,,,,,,,,0,3,3,11,1,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.9508,,,,,,target,penultimate,"""No habrá más cucarachas"" —extermino complacida.",exterminar,1,,,,,,,,,,,,,,0,4,4,12,1,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.1383,,,,,,target,ultimate,"""Retrato de un hombre triste"" —lo denominó complacido. ",denominar,1,,,,,,,,,,,,,,0,5,5,13,1,,,,,
,,,,,,,,,,alc125_spanish_exp2,2023-03-29_11h55.26.140,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.3584,,,,,,target,ultimate,"""No puedo cocinar sin quemar la comida"" —me desanimó compungida.",desanimar,1,,,,,,,,,,,,,,0,6,6,9,1,,,,,
