key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialcatalan,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trial_randomizer.thisRepN,trial_randomizer.thisTrialN,trial_randomizer.thisN,trial_randomizer.thisIndex,trial_randomizer.ran,fillertarget,stress,wordcatalan,verbcatalan,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialRep.thisRepN,mainTrialRep.thisTrialN,mainTrialRep.thisN,mainTrialRep.thisIndex,mainTrialRep.ran,trial_randomizer2.thisRepN,trial_randomizer2.thisTrialN,trial_randomizer2.thisN,trial_randomizer2.thisIndex,trial_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,2747.5294,space,5.8261,0,0,0,1,1,"""Depèn de la temporada"" —explica seriòs.",als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.8132,0,1,1,0,1,"""Ha regalat un pastís al seu nebot"" —va pensar confiat.",als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.5545,0,2,2,3,1,"""T'estimo molt"" —va sospirar content.",als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.6137,0,3,3,2,1,"""Voldria una mica de cafè"" —pensa complaguda.",als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,space,6.1335,space,6.7242,0,0,0,4,1,target,penultimate,"""Escriguin la resposta"" —els examina clarament.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,12.2959,0,1,1,8,1,target,penultimate,"""Aquest té menys sucre"" —discrimina tímid.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,9.0682,0,2,2,12,1,target,penultimate,"""No hi haurà més bestioles"" —extermina complaguda.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,5.9791,0,3,3,9,1,target,ultimate,"""No puc cuinar sense cremar el menjar"" —es va desanimar seriós.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,6.8319,0,4,4,11,1,target,ultimate,"""Van entrar sense demanar permís"" —les va incriminar confiat.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,6.8093,0,5,5,1,1,target,ultimate,"""Amb la pluja el vent és molt fort"" —va determinar complaguda.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,6.6365,0,6,6,10,1,target,penultimate,"""No són necessaris"" —elimina segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,10.3762,0,7,7,13,1,target,ultimate,"""Retrat d'un home trist"" —va denominar concret.",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,15.6803,0,8,8,2,1,target,penultimate,"""Aquest no és el meu número de telèfon"" —la descamina complagut.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,6.0957,0,9,9,5,1,target,ultimate,"""Acabo de comprar aquest llum"" —va il·luminar content.",illuminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,24.7287,0,10,10,0,1,target,penultimate,"""No m'agrada el te de camamilla"" —abomina plena.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,6.1401,0,11,11,3,1,target,ultimate,"""El president de l'estat està malalt"" —va disseminar prematura.",disseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,7.9583,0,12,12,6,1,target,penultimate,"""Confirmin la cita per demà"" —les encamina tímida.",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,5.4015,0,13,13,7,1,target,ultimate,"""És culpa teva"" —li va recriminar seriosa.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,6.2718,0,0,0,6,1,target,ultimate,"""Llegiu aquests articles"" —les va encaminar tímida.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,5.6302,0,1,1,10,1,target,ultimate,"""Érem a casa a l'hora del crim"" —va eliminar segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,4.5641,0,2,2,8,1,target,ultimate,"""Aquest és més fort"" —va discriminar tímid.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,5.1781,0,3,3,7,1,target,penultimate,"""No m'agrada que em truquis"" —li recrimina seriosa.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,4.2889,0,4,4,5,1,target,penultimate,"""Bon Nadal a tots"" —il·lumina content.",illuminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,6.1505,0,5,5,12,1,target,ultimate,"""Aquest verí va molt bé"" —va exterminar complaguda.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,5.9885,0,6,6,9,1,target,penultimate,"""No passaré mai l'examen"" —es desanima seriós.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,11.18,0,7,7,0,1,target,ultimate,"""No m'agraden gens les curses de braus"" —va abominar plena.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,5.642,0,8,8,11,1,target,penultimate,"""Vostès són les culpables"" —les incrimina confiat.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,5.361,0,9,9,4,1,target,ultimate,"""Facin aquesta equació"" —els va examinar clarament.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,6.5848,0,10,10,3,1,target,penultimate,"""La senyora Martí renuncia al seu càrrec"" —dissemina prematura.",disseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,6.3942,0,11,11,1,1,target,penultimate,"""La massa de l'àtom és mesurable"" —determina complaguda.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,7.8825,0,12,12,2,1,target,ultimate,"""Aquest és el camí més curt"" —la va descaminar complagut.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,9.0547,0,13,13,13,1,target,penultimate,"""Aquest gen es diu beta"" —denomina concret.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,,,,,,,,,,,,,0,1,1,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,space,17.3371,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,5.5379,0,0,0,10,1,target,ultimate,"""Érem a casa a l'hora del crim"" —va eliminar segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,5.7939,0,1,1,3,1,target,penultimate,"""La senyora Martí renuncia al seu càrrec"" —dissemina prematura.",disseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,6.8692,0,2,2,6,1,target,ultimate,"""Llegiu aquests articles"" —les va encaminar tímida.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,4.5897,0,3,3,5,1,target,penultimate,"""Bon Nadal a tots"" —il·lumina content.",illuminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,5.4692,0,4,4,11,1,target,penultimate,"""Vostès són les culpables"" —les incrimina confiat.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,5.9175,0,5,5,4,1,target,ultimate,"""Facin aquesta equació"" —els va examinar clarament.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,5.7091,0,6,6,7,1,target,penultimate,"""No m'agrada que em truquis"" —li recrimina seriosa.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,6.1177,0,7,7,2,1,target,ultimate,"""Aquest és el camí més curt"" —la va descaminar complagut.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,5.5524,0,8,8,13,1,target,penultimate,"""Aquest gen es diu beta"" —denomina concret.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,02/23/2023_16h25.07.490,catalan_exp2,2022.1.4,Win32,60.07088364,,,space,5.3843,0,9,9,8,1,target,ultimate,"""Aquest és més fort"" —va discriminar tímid.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
