key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,229.9864,space,10.9821,0,0,0,3,1,"No, he won't WASH the dishes, but he will dry them.",als086,03-02-2023_10h34.07.093,english_experiment2,2022.1.4,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.0449,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",als086,03-02-2023_10h34.07.093,english_experiment2,2022.1.4,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,11.1348,0,2,2,1,1,"No, there wasn't DEW on the ground, but there was frost.",als086,03-02-2023_10h34.07.093,english_experiment2,2022.1.4,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.25,0,3,3,2,1,"No, we couldn't SEE the flowers, but we could smell them.",als086,03-02-2023_10h34.07.093,english_experiment2,2022.1.4,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,03-02-2023_10h34.07.093,english_experiment2,2022.1.4,Win32,59.73715651,space,8.8661,space,7.9462,0,0,0,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,03-02-2023_10h34.07.093,english_experiment2,2022.1.4,Win32,59.73715651,,,space,19.1729,0,1,1,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,03-02-2023_10h34.07.093,english_experiment2,2022.1.4,Win32,59.73715651,,,space,7.5431,0,2,2,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,03-02-2023_10h34.07.093,english_experiment2,2022.1.4,Win32,59.73715651,,,space,13.0793,0,3,3,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,03-02-2023_10h34.07.093,english_experiment2,2022.1.4,Win32,59.73715651,,,space,9.6646,0,4,4,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,03-02-2023_10h34.07.093,english_experiment2,2022.1.4,Win32,59.73715651,,,space,8.8653,0,5,5,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,03-02-2023_10h34.07.093,english_experiment2,2022.1.4,Win32,59.73715651,,,space,8.1833,0,6,6,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,03-02-2023_10h34.07.093,english_experiment2,2022.1.4,Win32,59.73715651,,,space,8.0388,0,7,7,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,03-02-2023_10h34.07.093,english_experiment2,2022.1.4,Win32,59.73715651,,,space,7.4014,0,8,8,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,03-02-2023_10h34.07.093,english_experiment2,2022.1.4,Win32,59.73715651,,,space,8.2182,0,9,9,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,03-02-2023_10h34.07.093,english_experiment2,2022.1.4,Win32,59.73715651,,,space,7.4182,0,10,10,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,als086,03-02-2023_10h34.07.093,english_experiment2,2022.1.4,Win32,59.73715651,,,space,9.4837,0,11,11,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
