key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialcatalan,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trial_randomizer.thisRepN,trial_randomizer.thisTrialN,trial_randomizer.thisN,trial_randomizer.thisIndex,trial_randomizer.ran,fillertarget,stress,wordcatalan,verbcatalan,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialRep.thisRepN,mainTrialRep.thisTrialN,mainTrialRep.thisN,mainTrialRep.thisIndex,mainTrialRep.ran,trial_randomizer2.thisRepN,trial_randomizer2.thisTrialN,trial_randomizer2.thisN,trial_randomizer2.thisIndex,trial_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,3605.9426,space,7.4423,0,0,0,0,1,"""Ha regalat un pastís al seu nebot"" —va pensar confiat.",aoa302,02/21/2023_18h51.29.593,catalan_exp2,2022.1.4,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.1755,0,1,1,3,1,"""T'estimo molt"" —va sospirar content.",aoa302,02/21/2023_18h51.29.593,catalan_exp2,2022.1.4,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.3544,0,2,2,1,1,"""Depèn de la temporada"" —explica seriòs.",aoa302,02/21/2023_18h51.29.593,catalan_exp2,2022.1.4,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,8.6944,0,3,3,2,1,"""Voldria una mica de cafè"" —pensa complaguda.",aoa302,02/21/2023_18h51.29.593,catalan_exp2,2022.1.4,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aoa302,02/21/2023_18h51.29.593,catalan_exp2,2022.1.4,Win32,60.17209218,space,11.2196,space,7.2408,0,0,0,12,1,target,ultimate,"""Aquest verí va molt bé"" —va exterminar complaguda.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aoa302,02/21/2023_18h51.29.593,catalan_exp2,2022.1.4,Win32,60.17209218,,,space,22.1757,0,1,1,1,1,target,penultimate,"""La massa de l'àtom és mesurable"" —determina complaguda.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aoa302,02/21/2023_18h51.29.593,catalan_exp2,2022.1.4,Win32,60.17209218,,,space,5.6074,0,2,2,5,1,target,penultimate,"""Bon Nadal a tots"" —il·lumina content.",illuminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aoa302,02/21/2023_18h51.29.593,catalan_exp2,2022.1.4,Win32,60.17209218,,,space,5.7657,0,3,3,8,1,target,ultimate,"""Aquest és més fort"" —va discriminar tímid.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aoa302,02/21/2023_18h51.29.593,catalan_exp2,2022.1.4,Win32,60.17209218,,,space,9.7018,0,4,4,3,1,target,penultimate,"""La senyora Martí renuncia al seu càrrec"" —dissemina prematura.",disseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aoa302,02/21/2023_18h51.29.593,catalan_exp2,2022.1.4,Win32,60.17209218,,,space,6.5423,0,5,5,10,1,target,ultimate,"""Érem a casa a l'hora del crim"" —va eliminar segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aoa302,02/21/2023_18h51.29.593,catalan_exp2,2022.1.4,Win32,60.17209218,,,space,6.9054,0,6,6,9,1,target,penultimate,"""No passaré mai l'examen"" —es desanima seriós.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
