key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,36.0067,space,6.3272,0,0,0,1,1,"""Depende del clima"" —respondió claramente.",ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.2718,0,1,1,2,1,"""Me gustaría un café"" —pienso complacido.",ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.3445,0,2,2,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.9975,0,3,3,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,space,11.0308,space,5.3688,0,0,0,8,1,target,ultimate,"""Este es más fuerte"" —discriminó tímida.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.4166,0,1,1,7,1,target,penultimate,"""No me gusta su conducta"" —les recrimino con intensidad.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,7.095,0,2,2,11,1,target,penultimate,"""Los Osvald, culpables"" —les incrimino seguro.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.647,0,3,3,13,1,target,penultimate,"""Se llamará beta"" —lo denomino complacido.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.76,0,4,4,4,1,target,ultimate,"""Desarrollen esta ecuación"" —los examinó seriamente.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.6021,0,5,5,6,1,target,ultimate,"""Lee estos artículos"" —le encaminó con ilusión.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.8949,0,6,6,2,1,target,ultimate,"""Este es el camino más corto"" —la descaminó complacido.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,7.816,0,7,7,12,1,target,ultimate,"""Este insecticida es muy eficaz"" —exterminó complacida.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.9997,0,8,8,9,1,target,penultimate,"""No puedo estudiar matemáticas"" —me desanimo compungida.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,7.2607,0,9,9,1,1,target,penultimate,"""La masa del átomo es medible"" —determino complacida.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,8.2025,0,10,10,3,1,target,penultimate,"""La directora Pérez renuncia a su cargo"" —disemino compungido.",diseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,7.0407,0,11,11,0,1,target,ultimate,"""No me gustan las corridas"" —abominó con certeza.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.9583,0,12,12,10,1,target,ultimate,"""Tarjeta roja"" —los eliminó segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.3793,0,13,13,5,1,target,penultimate,"""Estas son las luces nuevas"" —ilumino contenta.",iluminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,0,0,0,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.9715,0,0,0,3,1,target,ultimate,"""El presidente del estado se encuentra enfermo"" —diseminó compungido.",diseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,10.6737,0,1,1,12,1,target,penultimate,"""No habrá más cucarachas"" —extermino complacida.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.277,0,2,2,10,1,target,penultimate,"""No son necesarios"" —los elimino segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.5362,0,3,3,9,1,target,ultimate,"""No puedo cocinar sin quemar la comida"" —me desanimó compungida.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.9867,0,4,4,8,1,target,penultimate,"""Este tiene menos azúcar"" —discrimino tímida.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.4465,0,5,5,6,1,target,penultimate,"""Confirma la cita para mañana"" —le encamino con ilusión. ",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.6677,0,6,6,2,1,target,penultimate,"""Este no es mi número de teléfono"" —la descamino complacido.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.8254,0,7,7,5,1,target,ultimate,"""Compré esta lámpara ayer"" —iluminó contenta.",iluminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,9.4276,0,8,8,1,1,target,ultimate,"""Con la lluvia el viento es muy fuerte"" —determinó complacida.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,9.4421,0,9,9,0,1,target,penultimate,"""No me gusta el té de manzanilla"" —abomino con certeza.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.4887,0,10,10,7,1,target,ultimate,"""Me robaron"" —les recriminó con intensidad.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.6006,0,11,11,4,1,target,penultimate,"""Escriban la respuesta"" —los examino seriamente.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,8.7073,0,12,12,13,1,target,ultimate,"""Retrato de un hombre triste"" —lo denominó complacido. ",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ama302_exp2_spa,03-11-2023_12h21.36.436,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.5118,0,13,13,11,1,target,ultimate,"""Entraron sin pedir permiso"" —les incriminó seguro.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
