key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,347.3869,space,10.6998,0,0,0,3,1,"No, he won't WASH the dishes, but he will dry them.",anf025,03-06-2023_12h22.11.360,english_experiment2,2022.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,9.7786,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",anf025,03-06-2023_12h22.11.360,english_experiment2,2022.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.8667,0,2,2,1,1,"No, there wasn't DEW on the ground, but there was frost.",anf025,03-06-2023_12h22.11.360,english_experiment2,2022.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.7405,0,3,3,2,1,"No, we couldn't SEE the flowers, but we could smell them.",anf025,03-06-2023_12h22.11.360,english_experiment2,2022.1.4,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025,03-06-2023_12h22.11.360,english_experiment2,2022.1.4,Win32,60.07088364,space,5.3487,space,6.2642,0,0,0,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025,03-06-2023_12h22.11.360,english_experiment2,2022.1.4,Win32,60.07088364,,,space,5.2172,0,1,1,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025,03-06-2023_12h22.11.360,english_experiment2,2022.1.4,Win32,60.07088364,,,space,6.0814,0,2,2,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025,03-06-2023_12h22.11.360,english_experiment2,2022.1.4,Win32,60.07088364,,,space,5.3857,0,3,3,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025,03-06-2023_12h22.11.360,english_experiment2,2022.1.4,Win32,60.07088364,,,space,4.9522,0,4,4,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025,03-06-2023_12h22.11.360,english_experiment2,2022.1.4,Win32,60.07088364,,,space,4.7159,0,5,5,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
