key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,32.7798,space,7.3215,0,0,0,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.7611,0,1,1,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.2514,0,2,2,1,1,"""Depende del clima"" —respondió claramente.",anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.43,0,3,3,2,1,"""Me gustaría un café"" —pienso complacido.",anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,space,11.5904,space,8.8417,0,0,0,11,1,target,ultimate,"""Entraron sin pedir permiso"" —les incriminó seguro.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.0163,0,1,1,5,1,target,ultimate,"""Compré esta lámpara ayer"" —iluminó contenta.",iluminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.0885,0,2,2,4,1,target,penultimate,"""Escriban la respuesta"" —los examino seriamente.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.4262,0,3,3,8,1,target,penultimate,"""Este tiene menos azúcar"" —discrimino tímida.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,8.5196,0,4,4,9,1,target,ultimate,"""No puedo cocinar sin quemar la comida"" —me desanimó compungida.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,7.2203,0,5,5,1,1,target,ultimate,"""Con la lluvia el viento es muy fuerte"" —determinó complacida.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.3655,0,6,6,12,1,target,penultimate,"""No habrá más cucarachas"" —extermino complacida.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.5787,0,7,7,7,1,target,ultimate,"""Me robaron"" —les recriminó con intensidad.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.2017,0,8,8,0,1,target,penultimate,"""No me gusta el té de manzanilla"" —abomino con certeza.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.2945,0,9,9,2,1,target,penultimate,"""Este no es mi número de teléfono"" —la descamino complacido.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.3895,0,10,10,3,1,target,ultimate,"""El presidente del estado se encuentra enfermo"" —diseminó compungido.",diseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,7.3286,0,11,11,6,1,target,penultimate,"""Confirma la cita para mañana"" —le encamino con ilusión. ",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.3302,0,12,12,10,1,target,penultimate,"""No son necesarios"" —los elimino segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.3923,0,13,13,13,1,target,ultimate,"""Retrato de un hombre triste"" —lo denominó complacido. ",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anf025_spanish_exp2,03-12-2023_13h57.42.724,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
