key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,84.1872,space,6.537,0,0,0,1,1,"No, there wasn't DEW on the ground, but there was frost.",anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.3844,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.7288,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.4683,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,space,16.6352,space,6.3677,0,0,0,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.7319,0,1,1,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.2864,0,2,2,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.5189,0,3,3,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.2011,0,4,4,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,7.3825,0,5,5,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.5679,0,6,6,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,7.0339,0,7,7,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.7316,0,8,8,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.9831,0,9,9,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.9009,0,10,10,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.5673,0,11,11,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.8168,0,12,12,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.7202,0,13,13,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.1046,0,14,14,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.1499,0,15,15,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.7997,0,16,16,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.6743,0,17,17,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,4.904,0,18,18,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,,,,,,,,,,,,,,0,0,0,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.9691,0,0,0,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.3409,0,1,1,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.3685,0,2,2,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.866,0,3,3,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.9041,0,4,4,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.5495,0,5,5,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.6159,0,6,6,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.685,0,7,7,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.7302,0,8,8,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.0517,0,9,9,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.536,0,10,10,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.4977,0,11,11,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.9827,0,12,12,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.1226,0,13,13,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.5016,0,14,14,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.8699,0,15,15,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.6509,0,16,16,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.3351,0,17,17,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.2523,0,18,18,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,,,,,,,,,,,,,,0,1,1,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,,,,,,,,,,,,,,,,,,,,space,19.4657,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,7.7238,0,0,0,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.2481,0,1,1,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.3276,0,2,2,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.5039,0,3,3,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.0221,0,4,4,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.2048,0,5,5,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,4.6503,0,6,6,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.4492,0,7,7,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.2002,0,8,8,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.4562,0,9,9,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.7816,0,10,10,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.554,0,11,11,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.598,0,12,12,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,6.3681,0,13,13,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm099,2023-01-30_09h58.41.516,english_experiment2,2022.1.4,Win32,59.40358798,,,space,5.5728,0,14,14,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
