key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,1490.5809,space,4.8086,0,0,0,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",anm149,03-09-2023_16h26.39.024,spanish_exp2,2022.1.4,Win32,59.50255861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.779,0,1,1,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",anm149,03-09-2023_16h26.39.024,spanish_exp2,2022.1.4,Win32,59.50255861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.0015,0,2,2,1,1,"""Depende del clima"" —respondió claramente.",anm149,03-09-2023_16h26.39.024,spanish_exp2,2022.1.4,Win32,59.50255861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.5486,0,3,3,2,1,"""Me gustaría un café"" —pienso complacido.",anm149,03-09-2023_16h26.39.024,spanish_exp2,2022.1.4,Win32,59.50255861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm149,03-09-2023_16h26.39.024,spanish_exp2,2022.1.4,Win32,59.50255861,space,5.9644,space,4.6021,0,0,0,13,1,target,penultimate,"""Se llamará beta"" —lo denomino complacido.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm149,03-09-2023_16h26.39.024,spanish_exp2,2022.1.4,Win32,59.50255861,,,space,5.1102,0,1,1,6,1,target,ultimate,"""Lee estos artículos"" —le encaminó con ilusión.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm149,03-09-2023_16h26.39.024,spanish_exp2,2022.1.4,Win32,59.50255861,,,space,4.68,0,2,2,0,1,target,ultimate,"""No me gustan las corridas"" —abominó con certeza.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm149,03-09-2023_16h26.39.024,spanish_exp2,2022.1.4,Win32,59.50255861,,,space,5.5272,0,3,3,7,1,target,penultimate,"""No me gusta su conducta"" —les recrimino con intensidad.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm149,03-09-2023_16h26.39.024,spanish_exp2,2022.1.4,Win32,59.50255861,,,space,5.9631,0,4,4,1,1,target,penultimate,"""La masa del átomo es medible"" —determino complacida.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,anm149,03-09-2023_16h26.39.024,spanish_exp2,2022.1.4,Win32,59.50255861,,,space,6.9427,0,5,5,4,1,target,ultimate,"""Desarrollen esta ecuación"" —los examinó seriamente.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
