key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialcatalan,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trial_randomizer.thisRepN,trial_randomizer.thisTrialN,trial_randomizer.thisN,trial_randomizer.thisIndex,trial_randomizer.ran,fillertarget,stress,wordcatalan,verbcatalan,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialRep.thisRepN,mainTrialRep.thisTrialN,mainTrialRep.thisN,mainTrialRep.thisIndex,mainTrialRep.ran,trial_randomizer2.thisRepN,trial_randomizer2.thisTrialN,trial_randomizer2.thisN,trial_randomizer2.thisIndex,trial_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,1476.3419,space,4.5813,0,0,0,1,1,"""Depèn de la temporada"" —explica seriòs.",arc053,03-10-2023_17h58.44.247,catalan_exp2,2022.1.4,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.9057,0,1,1,3,1,"""T'estimo molt"" —va sospirar content.",arc053,03-10-2023_17h58.44.247,catalan_exp2,2022.1.4,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.1972,0,2,2,0,1,"""Ha regalat un pastís al seu nebot"" —va pensar confiat.",arc053,03-10-2023_17h58.44.247,catalan_exp2,2022.1.4,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.8881,0,3,3,2,1,"""Voldria una mica de cafè"" —pensa complaguda.",arc053,03-10-2023_17h58.44.247,catalan_exp2,2022.1.4,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,03-10-2023_17h58.44.247,catalan_exp2,2022.1.4,Win32,60.07810153,space,3.1075,space,5.0562,0,0,0,7,1,target,penultimate,"""No m'agrada que em truquis"" —li recrimina seriosa.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,03-10-2023_17h58.44.247,catalan_exp2,2022.1.4,Win32,60.07810153,,,space,5.2737,0,1,1,3,1,target,penultimate,"""La senyora Martí renuncia al seu càrrec"" —dissemina prematura.",disseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,03-10-2023_17h58.44.247,catalan_exp2,2022.1.4,Win32,60.07810153,,,space,4.7012,0,2,2,1,1,target,penultimate,"""La massa de l'àtom és mesurable"" —determina complaguda.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,03-10-2023_17h58.44.247,catalan_exp2,2022.1.4,Win32,60.07810153,,,space,4.9108,0,3,3,2,1,target,ultimate,"""Aquest és el camí més curt"" —la va descaminar complagut.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,03-10-2023_17h58.44.247,catalan_exp2,2022.1.4,Win32,60.07810153,,,space,5.3758,0,4,4,10,1,target,ultimate,"""Érem a casa a l'hora del crim"" —va eliminar segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,03-10-2023_17h58.44.247,catalan_exp2,2022.1.4,Win32,60.07810153,,,space,4.5491,0,5,5,6,1,target,ultimate,"""Llegiu aquests articles"" —les va encaminar tímida.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,03-10-2023_17h58.44.247,catalan_exp2,2022.1.4,Win32,60.07810153,,,space,5.008,0,6,6,13,1,target,penultimate,"""Aquest gen es diu beta"" —denomina concret.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,03-10-2023_17h58.44.247,catalan_exp2,2022.1.4,Win32,60.07810153,,,space,5.0986,0,7,7,0,1,target,ultimate,"""No m'agraden gens les curses de braus"" —va abominar plena.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,03-10-2023_17h58.44.247,catalan_exp2,2022.1.4,Win32,60.07810153,,,space,5.4306,0,8,8,8,1,target,ultimate,"""Aquest és més fort"" —va discriminar tímid.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,03-10-2023_17h58.44.247,catalan_exp2,2022.1.4,Win32,60.07810153,,,space,5.1386,0,9,9,12,1,target,ultimate,"""Aquest verí va molt bé"" —va exterminar complaguda.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,03-10-2023_17h58.44.247,catalan_exp2,2022.1.4,Win32,60.07810153,,,space,4.9949,0,10,10,4,1,target,ultimate,"""Facin aquesta equació"" —els va examinar clarament.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
