key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,127.3458,space,7.3429,0,0,0,2,1,"No, we couldn't SEE the flowers, but we could smell them.",arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.8316,0,1,1,1,1,"No, there wasn't DEW on the ground, but there was frost.",arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.4865,0,2,2,0,1,"No, she doesn't EAT the plants, but she grows them.",arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.449,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,space,4.8833,space,5.3193,0,0,0,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,4.5638,0,1,1,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,4.9779,0,2,2,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,6.6935,0,3,3,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,5.4672,0,4,4,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,4.823,0,5,5,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,5.3255,0,6,6,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,4.7675,0,7,7,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,5.5486,0,8,8,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,5.3751,0,9,9,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,5.6332,0,10,10,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,5.2719,0,11,11,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,5.2592,0,12,12,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,6.7907,0,13,13,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,5.0965,0,14,14,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,13.8462,0,15,15,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,5.7173,0,16,16,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,5.8816,0,17,17,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,5.9711,0,18,18,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,6.2449,0,0,0,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,7.9308,0,1,1,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,6.3146,0,2,2,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,5.5577,0,3,3,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,5.6911,0,4,4,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,5.6447,0,5,5,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053,2023-03-16_13h17.24.104,english_experiment2,2022.1.4,Win32,59.62318149,,,space,4.9671,0,6,6,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
