key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,197.4647,space,7.9136,0,0,0,0,1,"No, she doesn't EAT the plants, but she grows them.",arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.2389,0,1,1,3,1,"No, he won't WASH the dishes, but he will dry them.",arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.0714,0,2,2,1,1,"No, there wasn't DEW on the ground, but there was frost.",arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.1552,0,3,3,2,1,"No, we couldn't SEE the flowers, but we could smell them.",arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,space,5.3482,space,5.8475,0,0,0,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,space,5.6058,0,1,1,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,space,5.581,0,2,2,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,space,6.028,0,3,3,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,space,5.6412,0,4,4,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,space,4.528,0,5,5,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,space,5.3966,0,6,6,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,space,5.2471,0,7,7,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,space,4.9377,0,8,8,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,space,5.8939,0,9,9,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,space,21.1009,0,10,10,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,space,5.7378,0,11,11,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,space,6.2141,0,12,12,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,space,5.1218,0,13,13,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-09-2023_14h20.02.705,english_experiment2,2022.1.4,Win32,60.0060006,,,space,6.3171,0,14,14,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
