key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,1578.1241,space,5.3419,0,0,0,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.8265,0,1,1,1,1,"""Depende del clima"" —respondió claramente.",arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.9176,0,2,2,2,1,"""Me gustaría un café"" —pienso complacido.",arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.0876,0,3,3,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,space,0.6726,space,6.3942,0,0,0,7,1,target,ultimate,"""Me robaron"" —les recriminó con intensidad.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,space,5.6286,0,1,1,10,1,target,penultimate,"""No son necesarios"" —los elimino segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,space,6.3572,0,2,2,2,1,target,penultimate,"""Este no es mi número de teléfono"" —la descamino complacido.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,space,13.3776,0,3,3,12,1,target,penultimate,"""No habrá más cucarachas"" —extermino complacida.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,space,8.8424,0,4,4,3,1,target,ultimate,"""El presidente del estado se encuentra enfermo"" —diseminó compungido.",diseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,space,5.4547,0,5,5,5,1,target,ultimate,"""Compré esta lámpara ayer"" —iluminó contenta.",iluminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,space,5.9939,0,6,6,13,1,target,ultimate,"""Retrato de un hombre triste"" —lo denominó complacido. ",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,space,6.4509,0,7,7,1,1,target,ultimate,"""Con la lluvia el viento es muy fuerte"" —determinó complacida.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,space,6.2059,0,8,8,4,1,target,penultimate,"""Escriban la respuesta"" —los examino seriamente.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,space,6.1966,0,9,9,8,1,target,penultimate,"""Este tiene menos azúcar"" —discrimino tímida.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,space,6.7217,0,10,10,9,1,target,ultimate,"""No puedo cocinar sin quemar la comida"" —me desanimó compungida.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,space,6.5296,0,11,11,6,1,target,penultimate,"""Confirma la cita para mañana"" —le encamino con ilusión. ",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,space,6.1054,0,12,12,0,1,target,penultimate,"""No me gusta el té de manzanilla"" —abomino con certeza.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arl041,03-14-2023_18h57.14.225,spanish_exp2,2022.1.4,Win32,60.06727535,,,space,5.7159,0,13,13,11,1,target,ultimate,"""Entraron sin pedir permiso"" —les incriminó seguro.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
