key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,123.8728,space,8.7815,0,0,0,1,1,"No, there wasn't DEW on the ground, but there was frost.",arr030,2023-03-15_10h50.02.303,english_experiment2,2022.1.4,Win32,60.19382411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.6189,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",arr030,2023-03-15_10h50.02.303,english_experiment2,2022.1.4,Win32,60.19382411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.7173,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",arr030,2023-03-15_10h50.02.303,english_experiment2,2022.1.4,Win32,60.19382411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.3835,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",arr030,2023-03-15_10h50.02.303,english_experiment2,2022.1.4,Win32,60.19382411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arr030,2023-03-15_10h50.02.303,english_experiment2,2022.1.4,Win32,60.19382411,space,5.8995,space,5.814,0,0,0,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arr030,2023-03-15_10h50.02.303,english_experiment2,2022.1.4,Win32,60.19382411,,,space,6.3637,0,1,1,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arr030,2023-03-15_10h50.02.303,english_experiment2,2022.1.4,Win32,60.19382411,,,space,6.4461,0,2,2,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arr030,2023-03-15_10h50.02.303,english_experiment2,2022.1.4,Win32,60.19382411,,,space,6.3752,0,3,3,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arr030,2023-03-15_10h50.02.303,english_experiment2,2022.1.4,Win32,60.19382411,,,space,5.2543,0,4,4,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arr030,2023-03-15_10h50.02.303,english_experiment2,2022.1.4,Win32,60.19382411,,,space,5.483,0,5,5,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
