key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,22.573,space,6.6901,0,0,0,2,1,"""Me gustaría un café"" —pienso complacido.",arr030_spanish_exp2,2023-03-19_15h18.04.704,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.2832,0,1,1,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",arr030_spanish_exp2,2023-03-19_15h18.04.704,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.7226,0,2,2,1,1,"""Depende del clima"" —respondió claramente.",arr030_spanish_exp2,2023-03-19_15h18.04.704,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.4142,0,3,3,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",arr030_spanish_exp2,2023-03-19_15h18.04.704,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arr030_spanish_exp2,2023-03-19_15h18.04.704,spanish_exp2,2022.1.4,MacIntel,120.0048002,space,10.9833,space,5.9958,0,0,0,3,1,target,penultimate,"""La directora Pérez renuncia a su cargo"" —disemino compungido.",diseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arr030_spanish_exp2,2023-03-19_15h18.04.704,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.2984,0,1,1,10,1,target,ultimate,"""Tarjeta roja"" —los eliminó segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arr030_spanish_exp2,2023-03-19_15h18.04.704,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.0703,0,2,2,0,1,target,ultimate,"""No me gustan las corridas"" —abominó con certeza.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arr030_spanish_exp2,2023-03-19_15h18.04.704,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.9351,0,3,3,11,1,target,penultimate,"""Los Osvald, culpables"" —les incrimino seguro.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arr030_spanish_exp2,2023-03-19_15h18.04.704,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.1798,0,4,4,8,1,target,ultimate,"""Este es más fuerte"" —discriminó tímida.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arr030_spanish_exp2,2023-03-19_15h18.04.704,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.5243,0,5,5,5,1,target,penultimate,"""Estas son las luces nuevas"" —ilumino contenta.",iluminar,2,,,,,,,,,,,,,,,,,,,,,,,
