key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,1380.2642,space,5.5989,0,0,0,2,1,"""Me gustaría un café"" —pienso complacido.",asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.4003,0,1,1,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.9271,0,2,2,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.9349,0,3,3,1,1,"""Depende del clima"" —respondió claramente.",asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,space,4.2277,space,6.1294,0,0,0,1,1,target,ultimate,"""Con la lluvia el viento es muy fuerte"" —determinó complacida.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.081,0,1,1,13,1,target,ultimate,"""Retrato de un hombre triste"" —lo denominó complacido. ",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.2703,0,2,2,4,1,target,penultimate,"""Escriban la respuesta"" —los examino seriamente.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.4561,0,3,3,5,1,target,ultimate,"""Compré esta lámpara ayer"" —iluminó contenta.",iluminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,6.0532,0,4,4,3,1,target,ultimate,"""El presidente del estado se encuentra enfermo"" —diseminó compungido.",diseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.8607,0,5,5,9,1,target,ultimate,"""No puedo cocinar sin quemar la comida"" —me desanimó compungida.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.7802,0,6,6,7,1,target,ultimate,"""Me robaron"" —les recriminó con intensidad.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.0771,0,7,7,11,1,target,ultimate,"""Entraron sin pedir permiso"" —les incriminó seguro.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.8063,0,8,8,2,1,target,penultimate,"""Este no es mi número de teléfono"" —la descamino complacido.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.6027,0,9,9,6,1,target,penultimate,"""Confirma la cita para mañana"" —le encamino con ilusión. ",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.8619,0,10,10,8,1,target,penultimate,"""Este tiene menos azúcar"" —discrimino tímida.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.8905,0,11,11,10,1,target,penultimate,"""No son necesarios"" —los elimino segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.9128,0,12,12,12,1,target,penultimate,"""No habrá más cucarachas"" —extermino complacida.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.8165,0,13,13,0,1,target,penultimate,"""No me gusta el té de manzanilla"" —abomino con certeza.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.8348,0,0,0,6,1,target,ultimate,"""Lee estos artículos"" —le encaminó con ilusión.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.5702,0,1,1,11,1,target,penultimate,"""Los Osvald, culpables"" —les incrimino seguro.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,6.0383,0,2,2,9,1,target,penultimate,"""No puedo estudiar matemáticas"" —me desanimo compungida.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.4641,0,3,3,8,1,target,ultimate,"""Este es más fuerte"" —discriminó tímida.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.9948,0,4,4,12,1,target,ultimate,"""Este insecticida es muy eficaz"" —exterminó complacida.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.5102,0,5,5,4,1,target,ultimate,"""Desarrollen esta ecuación"" —los examinó seriamente.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.136,0,6,6,7,1,target,penultimate,"""No me gusta su conducta"" —les recrimino con intensidad.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,6.8701,0,7,7,3,1,target,penultimate,"""La directora Pérez renuncia a su cargo"" —disemino compungido.",diseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.1169,0,8,8,2,1,target,ultimate,"""Este es el camino más corto"" —la descaminó complacido.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.7607,0,9,9,5,1,target,penultimate,"""Estas son las luces nuevas"" —ilumino contenta.",iluminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.3215,0,10,10,0,1,target,ultimate,"""No me gustan las corridas"" —abominó con certeza.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,6.2776,0,11,11,13,1,target,penultimate,"""Se llamará beta"" —lo denomino complacido.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.3089,0,12,12,1,1,target,penultimate,"""La masa del átomo es medible"" —determino complacida.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.3703,0,13,13,10,1,target,ultimate,"""Tarjeta roja"" —los eliminó segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,,,,,,,,,,,,,0,1,1,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,,,,,,,,,,,,,,,,,,,space,7.9445,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.626,0,0,0,8,1,target,penultimate,"""Este tiene menos azúcar"" —discrimino tímida.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.2631,0,1,1,13,1,target,ultimate,"""Retrato de un hombre triste"" —lo denominó complacido. ",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.8472,0,2,2,7,1,target,ultimate,"""Me robaron"" —les recriminó con intensidad.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.0433,0,3,3,5,1,target,ultimate,"""Compré esta lámpara ayer"" —iluminó contenta.",iluminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.759,0,4,4,1,1,target,ultimate,"""Con la lluvia el viento es muy fuerte"" —determinó complacida.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.1493,0,5,5,12,1,target,penultimate,"""No habrá más cucarachas"" —extermino complacida.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.0172,0,6,6,9,1,target,ultimate,"""No puedo cocinar sin quemar la comida"" —me desanimó compungida.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.509,0,7,7,0,1,target,penultimate,"""No me gusta el té de manzanilla"" —abomino con certeza.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.9352,0,8,8,10,1,target,penultimate,"""No son necesarios"" —los elimino segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.866,0,9,9,11,1,target,ultimate,"""Entraron sin pedir permiso"" —les incriminó seguro.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.9025,0,10,10,2,1,target,penultimate,"""Este no es mi número de teléfono"" —la descamino complacido.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.5778,0,11,11,6,1,target,penultimate,"""Confirma la cita para mañana"" —le encamino con ilusión. ",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.795,0,12,12,4,1,target,penultimate,"""Escriban la respuesta"" —los examino seriamente.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.4548,0,13,13,3,1,target,ultimate,"""El presidente del estado se encuentra enfermo"" —diseminó compungido.",diseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.5347,0,0,0,2,1,target,ultimate,"""Este es el camino más corto"" —la descaminó complacido.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.4783,0,1,1,0,1,target,ultimate,"""No me gustan las corridas"" —abominó con certeza.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.3283,0,2,2,1,1,target,penultimate,"""La masa del átomo es medible"" —determino complacida.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.9911,0,3,3,12,1,target,ultimate,"""Este insecticida es muy eficaz"" —exterminó complacida.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.8453,0,4,4,4,1,target,ultimate,"""Desarrollen esta ecuación"" —los examinó seriamente.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,6.3696,0,5,5,3,1,target,penultimate,"""La directora Pérez renuncia a su cargo"" —disemino compungido.",diseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.9306,0,6,6,5,1,target,penultimate,"""Estas son las luces nuevas"" —ilumino contenta.",iluminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.8222,0,7,7,6,1,target,ultimate,"""Lee estos artículos"" —le encaminó con ilusión.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.4396,0,8,8,13,1,target,penultimate,"""Se llamará beta"" —lo denomino complacido.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,3.9699,0,9,9,10,1,target,ultimate,"""Tarjeta roja"" —los eliminó segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.1557,0,10,10,11,1,target,penultimate,"""Los Osvald, culpables"" —les incrimino seguro.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.3025,0,11,11,8,1,target,ultimate,"""Este es más fuerte"" —discriminó tímida.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,4.8171,0,12,12,9,1,target,penultimate,"""No puedo estudiar matemáticas"" —me desanimo compungida.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,space,5.0701,0,13,13,7,1,target,penultimate,"""No me gusta su conducta"" —les recrimino con intensidad.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,,,,,,,,,,,,,0,1,1,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,02-28-2023_16h28.52.283,spanish_exp2,2022.1.4,Win32,60.2373351,,,,,,,,,,,,,,,,,,,,,space,10.6677,1,0,1,0,1,,,,,,,,,,
