key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,148.8217,space,8.5375,0,0,0,0,1,"No, she doesn't EAT the plants, but she grows them.",asp259,2023-03-23_07h50.21.330,english_experiment2,2022.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.9003,0,1,1,1,1,"No, there wasn't DEW on the ground, but there was frost.",asp259,2023-03-23_07h50.21.330,english_experiment2,2022.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.3778,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",asp259,2023-03-23_07h50.21.330,english_experiment2,2022.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.8113,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",asp259,2023-03-23_07h50.21.330,english_experiment2,2022.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asp259,2023-03-23_07h50.21.330,english_experiment2,2022.1.4,Win32,60.07449237,space,6.1841,space,5.1206,0,0,0,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asp259,2023-03-23_07h50.21.330,english_experiment2,2022.1.4,Win32,60.07449237,,,space,3.9349,0,1,1,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asp259,2023-03-23_07h50.21.330,english_experiment2,2022.1.4,Win32,60.07449237,,,space,3.9279,0,2,2,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asp259,2023-03-23_07h50.21.330,english_experiment2,2022.1.4,Win32,60.07449237,,,space,4.4164,0,3,3,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asp259,2023-03-23_07h50.21.330,english_experiment2,2022.1.4,Win32,60.07449237,,,space,4.2041,0,4,4,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asp259,2023-03-23_07h50.21.330,english_experiment2,2022.1.4,Win32,60.07449237,,,space,4.4942,0,5,5,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
