key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,54.5921,space,8.1196,0,0,0,2,1,"No, we couldn't SEE the flowers, but we could smell them.",auj020,03-03-2023_10h48.17.728,english_experiment2,2022.1.4,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.5546,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",auj020,03-03-2023_10h48.17.728,english_experiment2,2022.1.4,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.7607,0,2,2,3,1,"No, he won't WASH the dishes, but he will dry them.",auj020,03-03-2023_10h48.17.728,english_experiment2,2022.1.4,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.6241,0,3,3,1,1,"No, there wasn't DEW on the ground, but there was frost.",auj020,03-03-2023_10h48.17.728,english_experiment2,2022.1.4,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,auj020,03-03-2023_10h48.17.728,english_experiment2,2022.1.4,Win32,60.0024001,space,5.3667,space,5.5182,0,0,0,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,auj020,03-03-2023_10h48.17.728,english_experiment2,2022.1.4,Win32,60.0024001,,,space,5.8085,0,1,1,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,auj020,03-03-2023_10h48.17.728,english_experiment2,2022.1.4,Win32,60.0024001,,,space,4.9113,0,2,2,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,auj020,03-03-2023_10h48.17.728,english_experiment2,2022.1.4,Win32,60.0024001,,,space,5.2418,0,3,3,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,auj020,03-03-2023_10h48.17.728,english_experiment2,2022.1.4,Win32,60.0024001,,,space,4.5985,0,4,4,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,auj020,03-03-2023_10h48.17.728,english_experiment2,2022.1.4,Win32,60.0024001,,,space,5.6517,0,5,5,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,auj020,03-03-2023_10h48.17.728,english_experiment2,2022.1.4,Win32,60.0024001,,,space,4.9065,0,6,6,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,auj020,03-03-2023_10h48.17.728,english_experiment2,2022.1.4,Win32,60.0024001,,,space,5.1758,0,7,7,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,auj020,03-03-2023_10h48.17.728,english_experiment2,2022.1.4,Win32,60.0024001,,,space,5.3887,0,8,8,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
