key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,1285.5339,space,11.7359,0,0,0,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",auj020,03-14-2023_16h30.06.729,spanish_exp2,2022.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.5664,0,1,1,2,1,"""Me gustaría un café"" —pienso complacido.",auj020,03-14-2023_16h30.06.729,spanish_exp2,2022.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.4263,0,2,2,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",auj020,03-14-2023_16h30.06.729,spanish_exp2,2022.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.8201,0,3,3,1,1,"""Depende del clima"" —respondió claramente.",auj020,03-14-2023_16h30.06.729,spanish_exp2,2022.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,auj020,03-14-2023_16h30.06.729,spanish_exp2,2022.1.4,Win32,60.07449237,space,0.4451,space,6.4464,0,0,0,5,1,target,ultimate,"""Compré esta lámpara ayer"" —iluminó contenta.",iluminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,auj020,03-14-2023_16h30.06.729,spanish_exp2,2022.1.4,Win32,60.07449237,,,space,6.5991,0,1,1,1,1,target,ultimate,"""Con la lluvia el viento es muy fuerte"" —determinó complacida.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,auj020,03-14-2023_16h30.06.729,spanish_exp2,2022.1.4,Win32,60.07449237,,,space,7.0988,0,2,2,3,1,target,ultimate,"""El presidente del estado se encuentra enfermo"" —diseminó compungido.",diseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,auj020,03-14-2023_16h30.06.729,spanish_exp2,2022.1.4,Win32,60.07449237,,,space,7.4706,0,3,3,0,1,target,penultimate,"""No me gusta el té de manzanilla"" —abomino con certeza.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,auj020,03-14-2023_16h30.06.729,spanish_exp2,2022.1.4,Win32,60.07449237,,,space,7.4778,0,4,4,11,1,target,ultimate,"""Entraron sin pedir permiso"" —les incriminó seguro.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,auj020,03-14-2023_16h30.06.729,spanish_exp2,2022.1.4,Win32,60.07449237,,,space,5.4347,0,5,5,4,1,target,penultimate,"""Escriban la respuesta"" —los examino seriamente.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
