key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,118.876,space,6.15,0,0,0,3,1,"No, he won't WASH the dishes, but he will dry them.",awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.7848,0,1,1,1,1,"No, there wasn't DEW on the ground, but there was frost.",awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.6815,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.1815,0,3,3,0,1,"No, she doesn't EAT the plants, but she grows them.",awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,space,7.3672,space,5.8766,0,0,0,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.3022,0,1,1,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.3245,0,2,2,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.2051,0,3,3,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.8348,0,4,4,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.9166,0,5,5,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.678,0,6,6,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.3671,0,7,7,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.1024,0,8,8,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.0324,0,9,9,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.1837,0,10,10,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.8778,0,11,11,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.2767,0,12,12,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.2785,0,13,13,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.838,0,14,14,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.077,0,15,15,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.1505,0,16,16,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.9158,0,17,17,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.4121,0,18,18,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,,,,,,,,,,,,,,0,0,0,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.8654,0,0,0,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,9.1625,0,1,1,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.3914,0,2,2,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.6317,0,3,3,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.4864,0,4,4,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.885,0,5,5,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.9333,0,6,6,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.2503,0,7,7,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.7929,0,8,8,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.5509,0,9,9,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.7006,0,10,10,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.0538,0,11,11,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.3165,0,12,12,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.2352,0,13,13,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.1304,0,14,14,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.6698,0,15,15,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.5016,0,16,16,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.563,0,17,17,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.2711,0,18,18,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,,,,,,,,,,,,,,0,1,1,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,,,,,,,,,,,,,,,,,,,,space,16.3055,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.4005,0,0,0,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.7573,0,1,1,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.1505,0,2,2,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.9533,0,3,3,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.4386,0,4,4,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,6.2645,0,5,5,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.8959,0,6,6,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.0064,0,7,7,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.7993,0,8,8,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.4945,0,9,9,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.7687,0,10,10,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,4.1327,0,11,11,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.3496,0,12,12,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,awm067,2023-06-01_16h52.59.449,english_experiment2,2022.1.4,Win32,59.57700328,,,space,5.8992,0,13,13,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
