key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,312.0255,space,11.4017,0,0,0,2,1,"No, we couldn't SEE the flowers, but we could smell them.",bsa220,2023-03-20_16h52.42.855,english_experiment2,2022.1.4,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.4186,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",bsa220,2023-03-20_16h52.42.855,english_experiment2,2022.1.4,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.9373,0,2,2,1,1,"No, there wasn't DEW on the ground, but there was frost.",bsa220,2023-03-20_16h52.42.855,english_experiment2,2022.1.4,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.5349,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",bsa220,2023-03-20_16h52.42.855,english_experiment2,2022.1.4,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,bsa220,2023-03-20_16h52.42.855,english_experiment2,2022.1.4,Win32,59.94485074,space,6.0141,space,6.4047,0,0,0,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,bsa220,2023-03-20_16h52.42.855,english_experiment2,2022.1.4,Win32,59.94485074,,,space,5.4824,0,1,1,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,bsa220,2023-03-20_16h52.42.855,english_experiment2,2022.1.4,Win32,59.94485074,,,space,6.1658,0,2,2,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,bsa220,2023-03-20_16h52.42.855,english_experiment2,2022.1.4,Win32,59.94485074,,,space,5.584,0,3,3,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,bsa220,2023-03-20_16h52.42.855,english_experiment2,2022.1.4,Win32,59.94485074,,,space,6.1687,0,4,4,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,bsa220,2023-03-20_16h52.42.855,english_experiment2,2022.1.4,Win32,59.94485074,,,space,6.3299,0,5,5,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
