key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialcatalan,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trial_randomizer.thisRepN,trial_randomizer.thisTrialN,trial_randomizer.thisN,trial_randomizer.thisIndex,trial_randomizer.ran,fillertarget,stress,wordcatalan,verbcatalan,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialRep.thisRepN,mainTrialRep.thisTrialN,mainTrialRep.thisN,mainTrialRep.thisIndex,mainTrialRep.ran,trial_randomizer2.thisRepN,trial_randomizer2.thisTrialN,trial_randomizer2.thisN,trial_randomizer2.thisIndex,trial_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
right,72.2588,space,10.1809,0,0,0,2,1,"""Voldria una mica de cafè"" —pensa complaguda.",Dis022,2023-02-08_12h27.42.572,catalan_exp2,2022.1.4,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.6124,0,1,1,3,1,"""T'estimo molt"" —va sospirar content.",Dis022,2023-02-08_12h27.42.572,catalan_exp2,2022.1.4,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.403,0,2,2,0,1,"""Ha regalat un pastís al seu nebot"" —va pensar confiat.",Dis022,2023-02-08_12h27.42.572,catalan_exp2,2022.1.4,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.4988,0,3,3,1,1,"""Depèn de la temporada"" —explica seriòs.",Dis022,2023-02-08_12h27.42.572,catalan_exp2,2022.1.4,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Dis022,2023-02-08_12h27.42.572,catalan_exp2,2022.1.4,Win32,59.95563283,space,2.6348,space,4.9886,0,0,0,12,1,target,ultimate,"""Aquest verí va molt bé"" —va exterminar complaguda.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Dis022,2023-02-08_12h27.42.572,catalan_exp2,2022.1.4,Win32,59.95563283,,,space,4.6315,0,1,1,8,1,target,ultimate,"""Aquest és més fort"" —va discriminar tímid.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Dis022,2023-02-08_12h27.42.572,catalan_exp2,2022.1.4,Win32,59.95563283,,,space,7.9203,0,2,2,11,1,target,penultimate,"""Vostès són les culpables"" —les incrimina confiat.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Dis022,2023-02-08_12h27.42.572,catalan_exp2,2022.1.4,Win32,59.95563283,,,space,5.1798,0,3,3,7,1,target,penultimate,"""No m'agrada que em truquis"" —li recrimina seriosa.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Dis022,2023-02-08_12h27.42.572,catalan_exp2,2022.1.4,Win32,59.95563283,,,space,5.1456,0,4,4,6,1,target,ultimate,"""Llegiu aquests articles"" —les va encaminar tímida.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Dis022,2023-02-08_12h27.42.572,catalan_exp2,2022.1.4,Win32,59.95563283,,,space,9.989,0,5,5,4,1,target,ultimate,"""Facin aquesta equació"" —els va examinar clarament.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
