key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,18.369,space,4.9517,0,0,0,1,1,"""Depende del clima"" —respondió claramente.",eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.4757,0,1,1,2,1,"""Me gustaría un café"" —pienso complacido.",eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.5657,0,2,2,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.8348,0,3,3,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,space,10.547,space,4.8768,0,0,0,1,1,target,ultimate,"""Con la lluvia el viento es muy fuerte"" —determinó complacida.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.5423,0,1,1,8,1,target,penultimate,"""Este tiene menos azúcar"" —discrimino tímida.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.3429,0,2,2,12,1,target,penultimate,"""No habrá más cucarachas"" —extermino complacida.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.4607,0,3,3,10,1,target,penultimate,"""No son necesarios"" —los elimino segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.0072,0,4,4,2,1,target,penultimate,"""Este no es mi número de teléfono"" —la descamino complacido.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.6518,0,5,5,7,1,target,ultimate,"""Me robaron"" —les recriminó con intensidad.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.0414,0,6,6,6,1,target,penultimate,"""Confirma la cita para mañana"" —le encamino con ilusión. ",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.6402,0,7,7,0,1,target,penultimate,"""No me gusta el té de manzanilla"" —abomino con certeza.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.4951,0,8,8,3,1,target,ultimate,"""El presidente del estado se encuentra enfermo"" —diseminó compungido.",diseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.8885,0,9,9,9,1,target,ultimate,"""No puedo cocinar sin quemar la comida"" —me desanimó compungida.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.8172,0,10,10,11,1,target,ultimate,"""Entraron sin pedir permiso"" —les incriminó seguro.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.5454,0,11,11,5,1,target,ultimate,"""Compré esta lámpara ayer"" —iluminó contenta.",iluminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.4945,0,12,12,4,1,target,penultimate,"""Escriban la respuesta"" —los examino seriosamente.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eir057_exp2_spa,02-26-2023_13h55.53.041,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.5091,0,13,13,13,1,target,ultimate,"""Retrato de un hombre triste"" —lo denominó complacido. ",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
