key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialcatalan,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trial_randomizer.thisRepN,trial_randomizer.thisTrialN,trial_randomizer.thisN,trial_randomizer.thisIndex,trial_randomizer.ran,fillertarget,stress,wordcatalan,verbcatalan,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialRep.thisRepN,mainTrialRep.thisTrialN,mainTrialRep.thisN,mainTrialRep.thisIndex,mainTrialRep.ran,trial_randomizer2.thisRepN,trial_randomizer2.thisTrialN,trial_randomizer2.thisN,trial_randomizer2.thisIndex,trial_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,1628.9295,space,4.5802,0,0,0,0,1,"""Ha regalat un pastís al seu nebot"" —va pensar confiat.",elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.8734,0,1,1,2,1,"""Voldria una mica de cafè"" —pensa complaguda.",elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.2252,0,2,2,3,1,"""T'estimo molt"" —va sospirar content.",elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.6434,0,3,3,1,1,"""Depèn de la temporada"" —explica seriòs.",elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,space,4.1239,space,4.022,0,0,0,4,1,target,penultimate,"""Escriguin la resposta"" —els examina clarament.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,space,4.0246,0,1,1,13,1,target,ultimate,"""Retrat d'un home trist"" —va denominar concret.",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,space,4.7434,0,2,2,1,1,target,ultimate,"""Amb la pluja el vent és molt fort"" —va determinar complaguda.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,space,3.4822,0,3,3,10,1,target,penultimate,"""No són necessaris"" —elimina segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,space,4.1036,0,4,4,12,1,target,penultimate,"""No hi haurà més bestioles"" —extermina complaguda.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,space,4.1634,0,5,5,8,1,target,penultimate,"""Aquest té menys sucre"" —discrimina tímid.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,space,4.3521,0,6,6,0,1,target,penultimate,"""No m'agrada el te de camamilla"" —abomina plena.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,space,4.1241,0,7,7,7,1,target,ultimate,"""És culpa teva"" —li va recriminar seriosa.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,space,3.7921,0,8,8,5,1,target,ultimate,"""Acabo de comprar aquest llum"" —va il·luminar content.",illuminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,space,4.9605,0,9,9,11,1,target,ultimate,"""Van entrar sense demanar permís"" —les va incriminar confiat.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,space,4.5345,0,10,10,6,1,target,penultimate,"""Confirmin la cita per demà"" —les encamina tímida.",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,space,4.8449,0,11,11,3,1,target,ultimate,"""El president de l'estat està malalt"" —va disseminar prematura.",disseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,space,4.7052,0,12,12,9,1,target,ultimate,"""No puc cuinar sense cremar el menjar"" —es va desanimar seriós.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,space,4.6521,0,13,13,2,1,target,penultimate,"""Aquest no és el meu número de telèfon"" —la descamina complagut.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,space,3.936,0,0,0,13,1,target,penultimate,"""Aquest gen es diu beta"" —denomina concret.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,space,4.0539,0,1,1,6,1,target,ultimate,"""Llegiu aquests articles"" —les va encaminar tímida.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-03-2023_12h21.47.164,catalan_exp2,2022.1.4,Win32,59.94844434,,,space,4.2819,0,2,2,7,1,target,penultimate,"""No m'agrada que em truquis"" —li recrimina seriosa.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
