key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,165.2447,space,7.5245,0,0,0,3,1,"No, he won't WASH the dishes, but he will dry them.",elc149,03-07-2023_13h16.52.367,english_experiment2,2022.1.4,Win32,59.86948452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.2756,0,1,1,1,1,"No, there wasn't DEW on the ground, but there was frost.",elc149,03-07-2023_13h16.52.367,english_experiment2,2022.1.4,Win32,59.86948452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.6812,0,2,2,0,1,"No, she doesn't EAT the plants, but she grows them.",elc149,03-07-2023_13h16.52.367,english_experiment2,2022.1.4,Win32,59.86948452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.4442,0,3,3,2,1,"No, we couldn't SEE the flowers, but we could smell them.",elc149,03-07-2023_13h16.52.367,english_experiment2,2022.1.4,Win32,59.86948452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-07-2023_13h16.52.367,english_experiment2,2022.1.4,Win32,59.86948452,space,4.8147,space,5.5954,0,0,0,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-07-2023_13h16.52.367,english_experiment2,2022.1.4,Win32,59.86948452,,,space,5.606,0,1,1,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-07-2023_13h16.52.367,english_experiment2,2022.1.4,Win32,59.86948452,,,space,4.5011,0,2,2,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-07-2023_13h16.52.367,english_experiment2,2022.1.4,Win32,59.86948452,,,space,5.7983,0,3,3,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-07-2023_13h16.52.367,english_experiment2,2022.1.4,Win32,59.86948452,,,space,5.468,0,4,4,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-07-2023_13h16.52.367,english_experiment2,2022.1.4,Win32,59.86948452,,,space,6.6819,0,5,5,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-07-2023_13h16.52.367,english_experiment2,2022.1.4,Win32,59.86948452,,,space,5.644,0,6,6,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-07-2023_13h16.52.367,english_experiment2,2022.1.4,Win32,59.86948452,,,space,6.4025,0,7,7,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-07-2023_13h16.52.367,english_experiment2,2022.1.4,Win32,59.86948452,,,space,5.9185,0,8,8,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-07-2023_13h16.52.367,english_experiment2,2022.1.4,Win32,59.86948452,,,space,7.0133,0,9,9,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
