key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,1587.0531,space,4.2299,0,0,0,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",elc149,03-10-2023_08h53.59.096,spanish_exp2,2022.1.4,Win32,61.06870229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.3196,0,1,1,2,1,"""Me gustaría un café"" —pienso complacido.",elc149,03-10-2023_08h53.59.096,spanish_exp2,2022.1.4,Win32,61.06870229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.2933,0,2,2,1,1,"""Depende del clima"" —respondió claramente.",elc149,03-10-2023_08h53.59.096,spanish_exp2,2022.1.4,Win32,61.06870229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.9434,0,3,3,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",elc149,03-10-2023_08h53.59.096,spanish_exp2,2022.1.4,Win32,61.06870229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-10-2023_08h53.59.096,spanish_exp2,2022.1.4,Win32,61.06870229,space,0.8728,space,4.5721,0,0,0,1,1,target,penultimate,"""La masa del átomo es medible"" —determino complacida.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-10-2023_08h53.59.096,spanish_exp2,2022.1.4,Win32,61.06870229,,,space,4.3233,0,1,1,12,1,target,ultimate,"""Este insecticida es muy eficaz"" —exterminó complacida.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-10-2023_08h53.59.096,spanish_exp2,2022.1.4,Win32,61.06870229,,,space,4.527,0,2,2,2,1,target,ultimate,"""Este es el camino más corto"" —la descaminó complacido.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-10-2023_08h53.59.096,spanish_exp2,2022.1.4,Win32,61.06870229,,,space,3.7157,0,3,3,5,1,target,penultimate,"""Estas son las luces nuevas"" —ilumino contenta.",iluminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-10-2023_08h53.59.096,spanish_exp2,2022.1.4,Win32,61.06870229,,,space,3.5392,0,4,4,10,1,target,ultimate,"""Tarjeta roja"" —los eliminó segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,elc149,03-10-2023_08h53.59.096,spanish_exp2,2022.1.4,Win32,61.06870229,,,space,4.1989,0,5,5,9,1,target,penultimate,"""No puedo estudiar matemáticas"" —me desanimo compungida.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
