key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialcatalan,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trial_randomizer.thisRepN,trial_randomizer.thisTrialN,trial_randomizer.thisN,trial_randomizer.thisIndex,trial_randomizer.ran,fillertarget,stress,wordcatalan,verbcatalan,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialRep.thisRepN,mainTrialRep.thisTrialN,mainTrialRep.thisN,mainTrialRep.thisIndex,mainTrialRep.ran,trial_randomizer2.thisRepN,trial_randomizer2.thisTrialN,trial_randomizer2.thisN,trial_randomizer2.thisIndex,trial_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,32.047,space,5.6804,0,0,0,0,1,"""Ha regalat un pastís al seu nebot"" —va pensar confiat.",,03-11-2023_14h50.25.474,catalan_exp2,2022.1.4,Win32,60.98304671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.1818,0,1,1,1,1,"""Depèn de la temporada"" —explica seriòs.",,03-11-2023_14h50.25.474,catalan_exp2,2022.1.4,Win32,60.98304671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.3696,0,2,2,2,1,"""Voldria una mica de cafè"" —pensa complaguda.",,03-11-2023_14h50.25.474,catalan_exp2,2022.1.4,Win32,60.98304671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.6767,0,3,3,3,1,"""T'estimo molt"" —va sospirar content.",,03-11-2023_14h50.25.474,catalan_exp2,2022.1.4,Win32,60.98304671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_14h50.25.474,catalan_exp2,2022.1.4,Win32,60.98304671,space,5.5277,space,4.5906,0,0,0,11,1,target,penultimate,"""Vostès són les culpables"" —les incrimina confiat.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_14h50.25.474,catalan_exp2,2022.1.4,Win32,60.98304671,,,space,5.9491,0,1,1,3,1,target,penultimate,"""La senyora Martí renuncia al seu càrrec"" —dissemina prematura.",disseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_14h50.25.474,catalan_exp2,2022.1.4,Win32,60.98304671,,,space,3.8182,0,2,2,5,1,target,penultimate,"""Bon Nadal a tots"" —il·lumina content.",illuminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_14h50.25.474,catalan_exp2,2022.1.4,Win32,60.98304671,,,space,4.685,0,3,3,6,1,target,ultimate,"""Llegiu aquests articles"" —les va encaminar tímida.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_14h50.25.474,catalan_exp2,2022.1.4,Win32,60.98304671,,,space,6.0437,0,4,4,7,1,target,penultimate,"""No m'agrada que em truquis"" —li recrimina seriosa.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_14h50.25.474,catalan_exp2,2022.1.4,Win32,60.98304671,,,space,4.8167,0,5,5,13,1,target,penultimate,"""Aquest gen es diu beta"" —denomina concret.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_14h50.25.474,catalan_exp2,2022.1.4,Win32,60.98304671,,,space,6.0155,0,6,6,2,1,target,ultimate,"""Aquest és el camí més curt"" —la va descaminar complagut.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_14h50.25.474,catalan_exp2,2022.1.4,Win32,60.98304671,,,space,4.9064,0,7,7,1,1,target,penultimate,"""La massa de l'àtom és mesurable"" —determina complaguda.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_14h50.25.474,catalan_exp2,2022.1.4,Win32,60.98304671,,,space,9.3928,0,8,8,8,1,target,ultimate,"""Aquest és més fort"" —va discriminar tímid.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_14h50.25.474,catalan_exp2,2022.1.4,Win32,60.98304671,,,space,5.1604,0,9,9,12,1,target,ultimate,"""Aquest verí va molt bé"" —va exterminar complaguda.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
