key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,222.4297,space,11.3106,0,0,0,2,1,"No, we couldn't SEE the flowers, but we could smell them.",enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.067,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.0785,0,2,2,1,1,"No, there wasn't DEW on the ground, but there was frost.",enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.5813,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,space,7.4332,space,6.7526,0,0,0,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.8789,0,1,1,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.718,0,2,2,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,6.197,0,3,3,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.3984,0,4,4,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.6467,0,5,5,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,6.948,0,6,6,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.3184,0,7,7,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,6.2576,0,8,8,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,6.8993,0,9,9,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,7.217,0,10,10,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,7.404,0,11,11,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,7.9348,0,12,12,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,7.3183,0,13,13,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,6.8471,0,14,14,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,6.6312,0,15,15,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,6.8012,0,16,16,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.5513,0,17,17,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.2369,0,18,18,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,,,,,,,,,,,,,,0,0,0,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.8822,0,0,0,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,6.2548,0,1,1,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,6.4326,0,2,2,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.7495,0,3,3,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,6.2673,0,4,4,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.9395,0,5,5,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,6.1515,0,6,6,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.5378,0,7,7,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.0149,0,8,8,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.5708,0,9,9,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.7501,0,10,10,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.6984,0,11,11,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.8882,0,12,12,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.4321,0,13,13,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.7313,0,14,14,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.9516,0,15,15,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.6879,0,16,16,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.9665,0,17,17,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,5.7001,0,18,18,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,,,,,,,,,,,,,,0,1,1,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,,,,,,,,,,,,,,,,,,,,space,16.9959,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,6.1744,0,0,0,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,6.6165,0,1,1,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,6.5367,0,2,2,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,enp048,2023-03-21_11h51.52.521,english_experiment2,2022.1.4,Win32,60.04202942,,,space,6.6139,0,3,3,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
