key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,69.2502,space,7.346,0,0,0,3,1,"No, he won't WASH the dishes, but he will dry them.",ers160,2023-01-26_18h17.37.764,english_experiment2,2022.1.4,Win32,59.81218972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.7042,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",ers160,2023-01-26_18h17.37.764,english_experiment2,2022.1.4,Win32,59.81218972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.2167,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",ers160,2023-01-26_18h17.37.764,english_experiment2,2022.1.4,Win32,59.81218972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.2545,0,3,3,1,1,"No, there wasn't DEW on the ground, but there was frost.",ers160,2023-01-26_18h17.37.764,english_experiment2,2022.1.4,Win32,59.81218972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ers160,2023-01-26_18h17.37.764,english_experiment2,2022.1.4,Win32,59.81218972,space,13.9222,space,6.2863,0,0,0,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ers160,2023-01-26_18h17.37.764,english_experiment2,2022.1.4,Win32,59.81218972,,,space,14.7742,0,1,1,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ers160,2023-01-26_18h17.37.764,english_experiment2,2022.1.4,Win32,59.81218972,,,space,5.4155,0,2,2,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ers160,2023-01-26_18h17.37.764,english_experiment2,2022.1.4,Win32,59.81218972,,,space,4.7345,0,3,3,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ers160,2023-01-26_18h17.37.764,english_experiment2,2022.1.4,Win32,59.81218972,,,space,5.2259,0,4,4,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ers160,2023-01-26_18h17.37.764,english_experiment2,2022.1.4,Win32,59.81218972,,,space,5.6685,0,5,5,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ers160,2023-01-26_18h17.37.764,english_experiment2,2022.1.4,Win32,59.81218972,,,space,5.1164,0,6,6,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
