key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,298.8009,space,10.4127,0,0,0,3,1,"No, he won't WASH the dishes, but he will dry them.",eum191,03-07-2023_11h24.02.681,english_experiment2,2022.1.4,Win32,59.77643613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.0407,0,1,1,2,1,"No, we couldn't SEE the flowers, but we could smell them.",eum191,03-07-2023_11h24.02.681,english_experiment2,2022.1.4,Win32,59.77643613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.0749,0,2,2,1,1,"No, there wasn't DEW on the ground, but there was frost.",eum191,03-07-2023_11h24.02.681,english_experiment2,2022.1.4,Win32,59.77643613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.1708,0,3,3,0,1,"No, she doesn't EAT the plants, but she grows them.",eum191,03-07-2023_11h24.02.681,english_experiment2,2022.1.4,Win32,59.77643613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eum191,03-07-2023_11h24.02.681,english_experiment2,2022.1.4,Win32,59.77643613,space,7.6963,space,6.7677,0,0,0,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eum191,03-07-2023_11h24.02.681,english_experiment2,2022.1.4,Win32,59.77643613,,,space,7.3678,0,1,1,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eum191,03-07-2023_11h24.02.681,english_experiment2,2022.1.4,Win32,59.77643613,,,space,7.5044,0,2,2,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eum191,03-07-2023_11h24.02.681,english_experiment2,2022.1.4,Win32,59.77643613,,,space,7.6193,0,3,3,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eum191,03-07-2023_11h24.02.681,english_experiment2,2022.1.4,Win32,59.77643613,,,space,7.8332,0,4,4,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eum191,03-07-2023_11h24.02.681,english_experiment2,2022.1.4,Win32,59.77643613,,,space,6.5588,0,5,5,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
