key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,3405.1574,space,6.182,0,0,0,2,1,"""Me gustaría un café"" —pienso complacido.",eum191,03-09-2023_19h59.33.923,spanish_exp2,2022.1.4,Win32,59.22767117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,8.3672,0,1,1,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",eum191,03-09-2023_19h59.33.923,spanish_exp2,2022.1.4,Win32,59.22767117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,12.5472,0,2,2,1,1,"""Depende del clima"" —respondió claramente.",eum191,03-09-2023_19h59.33.923,spanish_exp2,2022.1.4,Win32,59.22767117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.0145,0,3,3,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",eum191,03-09-2023_19h59.33.923,spanish_exp2,2022.1.4,Win32,59.22767117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eum191,03-09-2023_19h59.33.923,spanish_exp2,2022.1.4,Win32,59.22767117,space,0.933,space,10.4945,0,0,0,3,1,target,penultimate,"""La directora Pérez renuncia a su cargo"" —disemino compungido.",diseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eum191,03-09-2023_19h59.33.923,spanish_exp2,2022.1.4,Win32,59.22767117,,,space,14.6787,0,1,1,4,1,target,ultimate,"""Desarrollen esta ecuación"" —los examinó seriamente.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eum191,03-09-2023_19h59.33.923,spanish_exp2,2022.1.4,Win32,59.22767117,,,space,7.0061,0,2,2,11,1,target,penultimate,"""Los Osvald, culpables"" —les incrimino seguro.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eum191,03-09-2023_19h59.33.923,spanish_exp2,2022.1.4,Win32,59.22767117,,,space,5.9669,0,3,3,13,1,target,penultimate,"""Se llamará beta"" —lo denomino complacido.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eum191,03-09-2023_19h59.33.923,spanish_exp2,2022.1.4,Win32,59.22767117,,,space,7.143,0,4,4,1,1,target,penultimate,"""La masa del átomo es medible"" —determino complacida.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,eum191,03-09-2023_19h59.33.923,spanish_exp2,2022.1.4,Win32,59.22767117,,,space,6.246,0,5,5,8,1,target,ultimate,"""Este es más fuerte"" —discriminó tímida.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
