key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,407.2648,space,12.3198,0,0,0,0,1,"No, she doesn't EAT the plants, but she grows them.",hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.6034,0,1,1,1,1,"No, there wasn't DEW on the ground, but there was frost.",hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.0497,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.7836,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,space,7.1334,space,8.4353,0,0,0,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,16.8051,0,1,1,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,5.9446,0,2,2,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.2942,0,3,3,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.9159,0,4,4,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,7.7442,0,5,5,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.7215,0,6,6,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,11.9179,0,7,7,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.0691,0,8,8,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.634,0,9,9,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,8.385,0,10,10,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.8246,0,11,11,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.6562,0,12,12,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,7.2827,0,13,13,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.5539,0,14,14,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,14.0815,0,15,15,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.7697,0,16,16,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,7.1408,0,17,17,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,7.5219,0,18,18,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,,,,,,,,,,,,,,0,0,0,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,10.0166,0,0,0,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.8003,0,1,1,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,10.0491,0,2,2,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.8634,0,3,3,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.5018,0,4,4,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,8.2371,0,5,5,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,7.378,0,6,6,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.7503,0,7,7,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,13.8398,0,8,8,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,7.4869,0,9,9,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.8656,0,10,10,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,7.7651,0,11,11,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,11.2048,0,12,12,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.9858,0,13,13,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,7.7085,0,14,14,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,7.58,0,15,15,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,9.9202,0,16,16,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,8.4003,0,17,17,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,11.5134,0,18,18,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,,,,,,,,,,,,,,0,1,1,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,,,,,,,,,,,,,,,,,,,,space,11.9469,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,8.5147,0,0,0,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.8498,0,1,1,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.6319,0,2,2,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,13.7685,0,3,3,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,8.7396,0,4,4,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,11.553,0,5,5,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.171,0,6,6,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.6011,0,7,7,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,7.0045,0,8,8,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.5651,0,9,9,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,11.0365,0,10,10,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.5506,0,11,11,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,7.3773,0,12,12,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.9839,0,13,13,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.0178,0,14,14,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,11.0523,0,15,15,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.9508,0,16,16,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.794,0,17,17,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,6.8441,0,18,18,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,7.2532,0,0,0,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,8.3235,0,1,1,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hya248,2023-03-21_10h29.24.913,english_experiment2,2022.1.4,Win32,60.56935191,,,space,8.3051,0,2,2,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
