key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,106.7597,space,11.102,0,0,0,1,1,"No, there wasn't DEW on the ground, but there was frost.",irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.0162,0,1,1,2,1,"No, we couldn't SEE the flowers, but we could smell them.",irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,8.9299,0,2,2,0,1,"No, she doesn't EAT the plants, but she grows them.",irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,8.0843,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,space,38.2835,space,12.7995,0,0,0,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,space,7.4604,0,1,1,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,space,6.4335,0,2,2,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,space,6.6264,0,3,3,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,space,6.0566,0,4,4,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,space,12.0111,0,5,5,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,space,6.743,0,6,6,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,space,6.6689,0,7,7,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,space,6.5023,0,8,8,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,space,10.0489,0,9,9,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,space,7.0004,0,10,10,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,space,6.8331,0,11,11,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,space,6.7491,0,12,12,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,space,6.9901,0,13,13,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,space,11.6671,0,14,14,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,space,6.6797,0,15,15,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irb111,2023-04-11_13h54.11.149,english_experiment2,2022.1.4,Win32,58.61664713,,,space,6.9007,0,16,16,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
