key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,2097.0763,space,6.5208,0,0,0,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",irm067,02-24-2023_20h15.32.274,spanish_exp2,2022.1.4,Win32,59.96282305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.3873,0,1,1,2,1,"""Me gustaría un café"" —pienso complacido.",irm067,02-24-2023_20h15.32.274,spanish_exp2,2022.1.4,Win32,59.96282305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.6045,0,2,2,1,1,"""Depende del clima"" —respondió claramente.",irm067,02-24-2023_20h15.32.274,spanish_exp2,2022.1.4,Win32,59.96282305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.0072,0,3,3,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",irm067,02-24-2023_20h15.32.274,spanish_exp2,2022.1.4,Win32,59.96282305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irm067,02-24-2023_20h15.32.274,spanish_exp2,2022.1.4,Win32,59.96282305,space,3.5108,space,6.156,0,0,0,2,1,target,penultimate,"""Este no es mi número de teléfono"" —la descamino complacido.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irm067,02-24-2023_20h15.32.274,spanish_exp2,2022.1.4,Win32,59.96282305,,,space,5.5763,0,1,1,11,1,target,ultimate,"""Entraron sin pedir permiso"" —les incriminó seguro.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irm067,02-24-2023_20h15.32.274,spanish_exp2,2022.1.4,Win32,59.96282305,,,space,5.3224,0,2,2,12,1,target,penultimate,"""No habrá más cucarachas"" —extermino complacida.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irm067,02-24-2023_20h15.32.274,spanish_exp2,2022.1.4,Win32,59.96282305,,,space,4.9452,0,3,3,5,1,target,ultimate,"""Compré esta lámpara ayer"" —iluminó contenta.",iluminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irm067,02-24-2023_20h15.32.274,spanish_exp2,2022.1.4,Win32,59.96282305,,,space,6.4482,0,4,4,3,1,target,ultimate,"""El presidente del estado se encuentra enfermo"" —diseminó compungido.",diseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irm067,02-24-2023_20h15.32.274,spanish_exp2,2022.1.4,Win32,59.96282305,,,space,7.5033,0,5,5,9,1,target,ultimate,"""No puedo cocinar sin quemar la comida"" —me desanimó compungida.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
