key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialcatalan,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trial_randomizer.thisRepN,trial_randomizer.thisTrialN,trial_randomizer.thisN,trial_randomizer.thisIndex,trial_randomizer.ran,fillertarget,stress,wordcatalan,verbcatalan,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialRep.thisRepN,mainTrialRep.thisTrialN,mainTrialRep.thisN,mainTrialRep.thisIndex,mainTrialRep.ran,trial_randomizer2.thisRepN,trial_randomizer2.thisTrialN,trial_randomizer2.thisN,trial_randomizer2.thisIndex,trial_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,15.864,space,8.3282,0,0,0,1,1,"""Depèn de la temporada"" —explica seriòs.",,2023-02-11_12h05.56.727,catalan_exp2,2022.1.4,Win32,19.99120387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.807,0,1,1,3,1,"""T'estimo molt"" —va sospirar content.",,2023-02-11_12h05.56.727,catalan_exp2,2022.1.4,Win32,19.99120387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.2867,0,2,2,2,1,"""Voldria una mica de cafè"" —pensa complaguda.",,2023-02-11_12h05.56.727,catalan_exp2,2022.1.4,Win32,19.99120387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,8.7864,0,3,3,0,1,"""Ha regalat un pastís al seu nebot"" —va pensar confiat.",,2023-02-11_12h05.56.727,catalan_exp2,2022.1.4,Win32,19.99120387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-11_12h05.56.727,catalan_exp2,2022.1.4,Win32,19.99120387,space,1.2175,space,5.3457,0,0,0,1,1,target,ultimate,"""Amb la pluja el vent és molt fort"" —va determinar complaguda.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-11_12h05.56.727,catalan_exp2,2022.1.4,Win32,19.99120387,,,space,11.1557,0,1,1,5,1,target,ultimate,"""Acabo de comprar aquest llum"" —va il·luminar content.",illuminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-11_12h05.56.727,catalan_exp2,2022.1.4,Win32,19.99120387,,,space,8.2154,0,2,2,11,1,target,ultimate,"""Van entrar sense demanar permís"" —les va incriminar confiat.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-11_12h05.56.727,catalan_exp2,2022.1.4,Win32,19.99120387,,,space,10.0634,0,3,3,9,1,target,ultimate,"""No puc cuinar sense cremar el menjar"" —es va desanimar seriós.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-11_12h05.56.727,catalan_exp2,2022.1.4,Win32,19.99120387,,,space,8.8745,0,4,4,2,1,target,penultimate,"""Aquest no és el meu número de telèfon"" —la descamina complagut.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2023-02-11_12h05.56.727,catalan_exp2,2022.1.4,Win32,19.99120387,,,space,9.5891,0,5,5,0,1,target,penultimate,"""No m'agrada el te de camamilla"" —abomina plena.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
