key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,136.3345,space,9.5825,0,0,0,2,1,"No, we couldn't SEE the flowers, but we could smell them.",irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.2187,0,1,1,3,1,"No, he won't WASH the dishes, but he will dry them.",irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.7682,0,2,2,1,1,"No, there wasn't DEW on the ground, but there was frost.",irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.0653,0,3,3,0,1,"No, she doesn't EAT the plants, but she grows them.",irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,space,4.8983,space,6.0644,0,0,0,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,13.2191,0,1,1,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,10.8152,0,2,2,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,6.1512,0,3,3,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,5.7967,0,4,4,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,6.3442,0,5,5,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,6.499,0,6,6,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,5.8936,0,7,7,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,6.6305,0,8,8,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,5.937,0,9,9,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,6.3805,0,10,10,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,7.3832,0,11,11,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,6.4921,0,12,12,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,5.7998,0,13,13,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,6.0869,0,14,14,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,7.2588,0,15,15,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,6.2091,0,16,16,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,5.7099,0,17,17,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,5.4057,0,18,18,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,,,,,,,,,,,,,,0,0,0,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,6.5659,0,0,0,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,5.6023,0,1,1,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,6.257,0,2,2,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,6.049,0,3,3,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,6.8497,0,4,4,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,6.3624,0,5,5,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,7.0098,0,6,6,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,6.3496,0,7,7,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,5.2115,0,8,8,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irs023,02/14/2023_15h20.29.064,english_experiment2,2022.1.4,Win32,59.7193192,,,space,5.9243,0,9,9,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
