key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,233.1711,space,9.868,0,0,0,0,1,"No, she doesn't EAT the plants, but she grows them.",irx018,02/16/2023_10h05.01.768,english_experiment2,2022.1.4,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.8497,0,1,1,1,1,"No, there wasn't DEW on the ground, but there was frost.",irx018,02/16/2023_10h05.01.768,english_experiment2,2022.1.4,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,8.5382,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",irx018,02/16/2023_10h05.01.768,english_experiment2,2022.1.4,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.832,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",irx018,02/16/2023_10h05.01.768,english_experiment2,2022.1.4,Win32,59.28385108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irx018,02/16/2023_10h05.01.768,english_experiment2,2022.1.4,Win32,59.28385108,space,8.0802,space,7.8736,0,0,0,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irx018,02/16/2023_10h05.01.768,english_experiment2,2022.1.4,Win32,59.28385108,,,space,7.5808,0,1,1,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irx018,02/16/2023_10h05.01.768,english_experiment2,2022.1.4,Win32,59.28385108,,,space,8.7688,0,2,2,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irx018,02/16/2023_10h05.01.768,english_experiment2,2022.1.4,Win32,59.28385108,,,space,8.1824,0,3,3,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irx018,02/16/2023_10h05.01.768,english_experiment2,2022.1.4,Win32,59.28385108,,,space,7.6485,0,4,4,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irx018,02/16/2023_10h05.01.768,english_experiment2,2022.1.4,Win32,59.28385108,,,space,9.4158,0,5,5,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irx018,02/16/2023_10h05.01.768,english_experiment2,2022.1.4,Win32,59.28385108,,,space,8.0338,0,6,6,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irx018,02/16/2023_10h05.01.768,english_experiment2,2022.1.4,Win32,59.28385108,,,space,8.1001,0,7,7,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irx018,02/16/2023_10h05.01.768,english_experiment2,2022.1.4,Win32,59.28385108,,,space,8.5657,0,8,8,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,irx018,02/16/2023_10h05.01.768,english_experiment2,2022.1.4,Win32,59.28385108,,,space,9.0015,0,9,9,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
