key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,150.1481,space,11.0059,0,0,0,2,1,"No, we couldn't SEE the flowers, but we could smell them.",ldm015,03-06-2023_10h45.37.119,english_experiment2,2022.1.4,Win32,59.82292414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.886,0,1,1,1,1,"No, there wasn't DEW on the ground, but there was frost.",ldm015,03-06-2023_10h45.37.119,english_experiment2,2022.1.4,Win32,59.82292414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.4993,0,2,2,0,1,"No, she doesn't EAT the plants, but she grows them.",ldm015,03-06-2023_10h45.37.119,english_experiment2,2022.1.4,Win32,59.82292414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.6957,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",ldm015,03-06-2023_10h45.37.119,english_experiment2,2022.1.4,Win32,59.82292414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ldm015,03-06-2023_10h45.37.119,english_experiment2,2022.1.4,Win32,59.82292414,space,6.0492,space,7.2506,0,0,0,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ldm015,03-06-2023_10h45.37.119,english_experiment2,2022.1.4,Win32,59.82292414,,,space,6.3688,0,1,1,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ldm015,03-06-2023_10h45.37.119,english_experiment2,2022.1.4,Win32,59.82292414,,,space,6.2649,0,2,2,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ldm015,03-06-2023_10h45.37.119,english_experiment2,2022.1.4,Win32,59.82292414,,,space,5.9638,0,3,3,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ldm015,03-06-2023_10h45.37.119,english_experiment2,2022.1.4,Win32,59.82292414,,,space,7.5504,0,4,4,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ldm015,03-06-2023_10h45.37.119,english_experiment2,2022.1.4,Win32,59.82292414,,,space,6.415,0,5,5,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
