key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,303.2813,space,9.4662,0,0,0,2,1,"No, we couldn't SEE the flowers, but we could smell them.",lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.3321,0,1,1,1,1,"No, there wasn't DEW on the ground, but there was frost.",lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.2372,0,2,2,3,1,"No, he won't WASH the dishes, but he will dry them.",lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.2333,0,3,3,0,1,"No, she doesn't EAT the plants, but she grows them.",lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,space,27.3992,space,6.489,0,0,0,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,7.4002,0,1,1,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,7.0808,0,2,2,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,8.3049,0,3,3,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,8.0672,0,4,4,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,6.6018,0,5,5,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,7.7154,0,6,6,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,6.8337,0,7,7,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,7.7131,0,8,8,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,7.6384,0,9,9,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,7.9498,0,10,10,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,7.3386,0,11,11,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,7.24,0,12,12,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,7.4853,0,13,13,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,6.4386,0,14,14,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,7.2319,0,15,15,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,6.867,0,16,16,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-03-27_10h57.11.963,english_experiment2,2022.1.4,Win32,60.13590715,,,space,7.2009,0,17,17,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
