key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,1782.9772,space,10.4467,0,0,0,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.7854,0,1,1,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.2059,0,2,2,1,1,"""Depende del clima"" —respondió claramente.",lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,8.165,0,3,3,2,1,"""Me gustaría un café"" —pienso complacido.",lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,space,10.0923,space,6.5504,0,0,0,5,1,target,ultimate,"""Compré esta lámpara ayer"" —iluminó contenta.",iluminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.986,0,1,1,8,1,target,penultimate,"""Este tiene menos azúcar"" —discrimino tímida.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.4297,0,2,2,10,1,target,penultimate,"""No son necesarios"" —los elimino segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,7.5781,0,3,3,3,1,target,ultimate,"""El presidente del estado se encuentra enfermo"" —diseminó compungido.",diseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,8.2061,0,4,4,9,1,target,ultimate,"""No puedo cocinar sin quemar la comida"" —me desanimó compungida.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,8.301,0,5,5,6,1,target,penultimate,"""Confirma la cita para mañana"" —le encamino con ilusión. ",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,7.8414,0,6,6,1,1,target,ultimate,"""Con la lluvia el viento es muy fuerte"" —determinó complacida.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,8.4632,0,7,7,4,1,target,penultimate,"""Escriban la respuesta"" —los examino seriamente.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,7.2075,0,8,8,2,1,target,penultimate,"""Este no es mi número de teléfono"" —la descamino complacido.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,7.538,0,9,9,12,1,target,penultimate,"""No habrá más cucarachas"" —extermino complacida.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,7.4538,0,10,10,13,1,target,ultimate,"""Retrato de un hombre triste"" —lo denominó complacido. ",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.7433,0,11,11,7,1,target,ultimate,"""Me robaron"" —les recriminó con intensidad.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,7.714,0,12,12,0,1,target,penultimate,"""No me gusta el té de manzanilla"" —abomino con certeza.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,10.0061,0,13,13,11,1,target,ultimate,"""Entraron sin pedir permiso"" —les incriminó seguro.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.8475,0,0,0,5,1,target,penultimate,"""Estas son las luces nuevas"" —ilumino contenta.",iluminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,12.002,0,1,1,1,1,target,penultimate,"""La masa del átomo es medible"" —determino complacida.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,9.479,0,2,2,12,1,target,ultimate,"""Este insecticida es muy eficaz"" —exterminó complacida.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lic063,2023-05-01_17h26.33.966,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.9982,0,3,3,10,1,target,ultimate,"""Tarjeta roja"" —los eliminó segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
