key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,207.2744,space,13.3151,0,0,0,3,1,"No, he won't WASH the dishes, but he will dry them.",lld029,2023-04-24_16h44.42.921,english_experiment2,2022.1.4,Win32,59.68367651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.8584,0,1,1,1,1,"No, there wasn't DEW on the ground, but there was frost.",lld029,2023-04-24_16h44.42.921,english_experiment2,2022.1.4,Win32,59.68367651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.5336,0,2,2,0,1,"No, she doesn't EAT the plants, but she grows them.",lld029,2023-04-24_16h44.42.921,english_experiment2,2022.1.4,Win32,59.68367651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.7897,0,3,3,2,1,"No, we couldn't SEE the flowers, but we could smell them.",lld029,2023-04-24_16h44.42.921,english_experiment2,2022.1.4,Win32,59.68367651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lld029,2023-04-24_16h44.42.921,english_experiment2,2022.1.4,Win32,59.68367651,space,7.651,space,8.6063,0,0,0,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lld029,2023-04-24_16h44.42.921,english_experiment2,2022.1.4,Win32,59.68367651,,,space,6.3834,0,1,1,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lld029,2023-04-24_16h44.42.921,english_experiment2,2022.1.4,Win32,59.68367651,,,space,6.4336,0,2,2,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lld029,2023-04-24_16h44.42.921,english_experiment2,2022.1.4,Win32,59.68367651,,,space,5.3495,0,3,3,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lld029,2023-04-24_16h44.42.921,english_experiment2,2022.1.4,Win32,59.68367651,,,space,5.4002,0,4,4,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lld029,2023-04-24_16h44.42.921,english_experiment2,2022.1.4,Win32,59.68367651,,,space,6.8735,0,5,5,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
