key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,345.346,space,8.4167,0,0,0,0,1,"No, she doesn't EAT the plants, but she grows them.",lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.5542,0,1,1,3,1,"No, he won't WASH the dishes, but he will dry them.",lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.4358,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.2371,0,3,3,1,1,"No, there wasn't DEW on the ground, but there was frost.",lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,space,6.5283,space,5.5428,0,0,0,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,15.4003,0,1,1,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.6267,0,2,2,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.3804,0,3,3,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.7404,0,4,4,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,5.3419,0,5,5,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,5.503,0,6,6,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.0852,0,7,7,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.2876,0,8,8,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.4579,0,9,9,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.676,0,10,10,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,5.2044,0,11,11,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,5.4875,0,12,12,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.5455,0,13,13,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.6031,0,14,14,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.3746,0,15,15,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,5.2026,0,16,16,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.4015,0,17,17,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,3.9717,0,18,18,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,,,,,,,,,,,,,,0,0,0,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.9728,0,0,0,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.6902,0,1,1,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.6915,0,2,2,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.3526,0,3,3,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.5042,0,4,4,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.4589,0,5,5,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.2294,0,6,6,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.6501,0,7,7,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.621,0,8,8,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,7.2796,0,9,9,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,5.1762,0,10,10,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.6604,0,11,11,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnd078,2023-05-26_10h53.07.229,english_experiment2,2022.1.4,Win32,60.16485169,,,space,4.816,0,12,12,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
