key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialcatalan,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trial_randomizer.thisRepN,trial_randomizer.thisTrialN,trial_randomizer.thisN,trial_randomizer.thisIndex,trial_randomizer.ran,fillertarget,stress,wordcatalan,verbcatalan,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialRep.thisRepN,mainTrialRep.thisTrialN,mainTrialRep.thisN,mainTrialRep.thisIndex,mainTrialRep.ran,trial_randomizer2.thisRepN,trial_randomizer2.thisTrialN,trial_randomizer2.thisN,trial_randomizer2.thisIndex,trial_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,72.6748,space,7.0885,0,0,0,1,1,"""Depèn de la temporada"" —explica seriòs.",,03-11-2023_09h33.24.694,catalan_exp2,2022.1.4,Win32,59.74786401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.2856,0,1,1,0,1,"""Ha regalat un pastís al seu nebot"" —va pensar confiat.",,03-11-2023_09h33.24.694,catalan_exp2,2022.1.4,Win32,59.74786401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.1877,0,2,2,3,1,"""T'estimo molt"" —va sospirar content.",,03-11-2023_09h33.24.694,catalan_exp2,2022.1.4,Win32,59.74786401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.31,0,3,3,2,1,"""Voldria una mica de cafè"" —pensa complaguda.",,03-11-2023_09h33.24.694,catalan_exp2,2022.1.4,Win32,59.74786401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_09h33.24.694,catalan_exp2,2022.1.4,Win32,59.74786401,space,7.5261,space,9.2512,0,0,0,4,1,target,penultimate,"""Escriguin la resposta"" —els examina clarament.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_09h33.24.694,catalan_exp2,2022.1.4,Win32,59.74786401,,,space,7.4144,0,1,1,5,1,target,ultimate,"""Acabo de comprar aquest llum"" —va il·luminar content.",illuminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_09h33.24.694,catalan_exp2,2022.1.4,Win32,59.74786401,,,space,7.927,0,2,2,9,1,target,ultimate,"""No puc cuinar sense cremar el menjar"" —es va desanimar seriós.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_09h33.24.694,catalan_exp2,2022.1.4,Win32,59.74786401,,,space,7.7694,0,3,3,11,1,target,ultimate,"""Van entrar sense demanar permís"" —les va incriminar confiat.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_09h33.24.694,catalan_exp2,2022.1.4,Win32,59.74786401,,,space,8.1873,0,4,4,3,1,target,ultimate,"""El president de l'estat està malalt"" —va disseminar prematura.",disseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_09h33.24.694,catalan_exp2,2022.1.4,Win32,59.74786401,,,space,21.9937,0,5,5,1,1,target,ultimate,"""Amb la pluja el vent és molt fort"" —va determinar complaguda.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,03-11-2023_09h33.24.694,catalan_exp2,2022.1.4,Win32,59.74786401,,,space,8.6446,0,6,6,6,1,target,penultimate,"""Confirmin la cita per demà"" —les encamina tímida.",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
