key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,236.0032,space,10.0218,0,0,0,3,1,"No, he won't WASH the dishes, but he will dry them.",lnm175,2023-03-21_13h26.05.418,english_experiment2,2022.1.4,Win32,60.22282445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.2023,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",lnm175,2023-03-21_13h26.05.418,english_experiment2,2022.1.4,Win32,60.22282445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.2665,0,2,2,1,1,"No, there wasn't DEW on the ground, but there was frost.",lnm175,2023-03-21_13h26.05.418,english_experiment2,2022.1.4,Win32,60.22282445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.2476,0,3,3,2,1,"No, we couldn't SEE the flowers, but we could smell them.",lnm175,2023-03-21_13h26.05.418,english_experiment2,2022.1.4,Win32,60.22282445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnm175,2023-03-21_13h26.05.418,english_experiment2,2022.1.4,Win32,60.22282445,space,6.8519,space,8,0,0,0,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnm175,2023-03-21_13h26.05.418,english_experiment2,2022.1.4,Win32,60.22282445,,,space,6.1824,0,1,1,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnm175,2023-03-21_13h26.05.418,english_experiment2,2022.1.4,Win32,60.22282445,,,space,9.3339,0,2,2,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnm175,2023-03-21_13h26.05.418,english_experiment2,2022.1.4,Win32,60.22282445,,,space,6.761,0,3,3,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnm175,2023-03-21_13h26.05.418,english_experiment2,2022.1.4,Win32,60.22282445,,,space,6.6352,0,4,4,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnm175,2023-03-21_13h26.05.418,english_experiment2,2022.1.4,Win32,60.22282445,,,space,6.7205,0,5,5,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnm175,2023-03-21_13h26.05.418,english_experiment2,2022.1.4,Win32,60.22282445,,,space,6.8687,0,6,6,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnm175,2023-03-21_13h26.05.418,english_experiment2,2022.1.4,Win32,60.22282445,,,space,6.8824,0,7,7,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnm175,2023-03-21_13h26.05.418,english_experiment2,2022.1.4,Win32,60.22282445,,,space,7.8977,0,8,8,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lnm175,2023-03-21_13h26.05.418,english_experiment2,2022.1.4,Win32,60.22282445,,,space,6.5849,0,9,9,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
