key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialcatalan,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trial_randomizer.thisRepN,trial_randomizer.thisTrialN,trial_randomizer.thisN,trial_randomizer.thisIndex,trial_randomizer.ran,fillertarget,stress,wordcatalan,verbcatalan,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialRep.thisRepN,mainTrialRep.thisTrialN,mainTrialRep.thisN,mainTrialRep.thisIndex,mainTrialRep.ran,trial_randomizer2.thisRepN,trial_randomizer2.thisTrialN,trial_randomizer2.thisN,trial_randomizer2.thisIndex,trial_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,1610.1581,space,3.893,0,0,0,3,1,"""T'estimo molt"" —va sospirar content.",lrs017,03-03-2023_16h52.48.790,catalan_exp2,2022.1.4,Win32,59.10165485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.4244,0,1,1,2,1,"""Voldria una mica de cafè"" —pensa complaguda.",lrs017,03-03-2023_16h52.48.790,catalan_exp2,2022.1.4,Win32,59.10165485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.0464,0,2,2,1,1,"""Depèn de la temporada"" —explica seriòs.",lrs017,03-03-2023_16h52.48.790,catalan_exp2,2022.1.4,Win32,59.10165485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,323.551,0,3,3,0,1,"""Ha regalat un pastís al seu nebot"" —va pensar confiat.",lrs017,03-03-2023_16h52.48.790,catalan_exp2,2022.1.4,Win32,59.10165485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lrs017,03-03-2023_16h52.48.790,catalan_exp2,2022.1.4,Win32,59.10165485,space,4.724,space,4.6809,0,0,0,4,1,target,ultimate,"""Facin aquesta equació"" —els va examinar clarament.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lrs017,03-03-2023_16h52.48.790,catalan_exp2,2022.1.4,Win32,59.10165485,,,space,4.7718,0,1,1,9,1,target,penultimate,"""No passaré mai l'examen"" —es desanima seriós.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lrs017,03-03-2023_16h52.48.790,catalan_exp2,2022.1.4,Win32,59.10165485,,,space,5.0105,0,2,2,6,1,target,ultimate,"""Llegiu aquests articles"" —les va encaminar tímida.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lrs017,03-03-2023_16h52.48.790,catalan_exp2,2022.1.4,Win32,59.10165485,,,space,4.0516,0,3,3,5,1,target,penultimate,"""Bon Nadal a tots"" —il·lumina content.",illuminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lrs017,03-03-2023_16h52.48.790,catalan_exp2,2022.1.4,Win32,59.10165485,,,space,4.7287,0,4,4,13,1,target,penultimate,"""Aquest gen es diu beta"" —denomina concret.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lrs017,03-03-2023_16h52.48.790,catalan_exp2,2022.1.4,Win32,59.10165485,,,space,5.7724,0,5,5,3,1,target,penultimate,"""La senyora Martí renuncia al seu càrrec"" —dissemina prematura.",disseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lrs017,03-03-2023_16h52.48.790,catalan_exp2,2022.1.4,Win32,59.10165485,,,space,5.1624,0,6,6,2,1,target,ultimate,"""Aquest és el camí més curt"" —la va descaminar complagut.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lrs017,03-03-2023_16h52.48.790,catalan_exp2,2022.1.4,Win32,59.10165485,,,space,4.2346,0,7,7,7,1,target,penultimate,"""No m'agrada que em truquis"" —li recrimina seriosa.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lrs017,03-03-2023_16h52.48.790,catalan_exp2,2022.1.4,Win32,59.10165485,,,space,4.1726,0,8,8,8,1,target,ultimate,"""Aquest és més fort"" —va discriminar tímid.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
