key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,158.9671,space,9.7831,0,0,0,1,1,"No, there wasn't DEW on the ground, but there was frost.",lrv099,2023-03-22_08h19.53.420,english_experiment2,2022.1.4,Win32,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.3182,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",lrv099,2023-03-22_08h19.53.420,english_experiment2,2022.1.4,Win32,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.5473,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",lrv099,2023-03-22_08h19.53.420,english_experiment2,2022.1.4,Win32,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.1775,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",lrv099,2023-03-22_08h19.53.420,english_experiment2,2022.1.4,Win32,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lrv099,2023-03-22_08h19.53.420,english_experiment2,2022.1.4,Win32,59.97720866,space,6.6243,space,5.5196,0,0,0,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lrv099,2023-03-22_08h19.53.420,english_experiment2,2022.1.4,Win32,59.97720866,,,space,6.2953,0,1,1,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lrv099,2023-03-22_08h19.53.420,english_experiment2,2022.1.4,Win32,59.97720866,,,space,6.2371,0,2,2,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lrv099,2023-03-22_08h19.53.420,english_experiment2,2022.1.4,Win32,59.97720866,,,space,5.8063,0,3,3,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lrv099,2023-03-22_08h19.53.420,english_experiment2,2022.1.4,Win32,59.97720866,,,space,5.9472,0,4,4,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,lrv099,2023-03-22_08h19.53.420,english_experiment2,2022.1.4,Win32,59.97720866,,,space,6.099,0,5,5,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
